bankKey,itemId,itemIdChanged,answerBefore,answerAfter,answerChanged,acceptedBefore,acceptedAfter,acceptedAnswersChanged,choicesChanged,promptChanged,learnerCueBefore,learnerCueAfter
wortschatz,b1_vocab_anmeldung_003,false,Könnten Sie mir meine Anmeldung bestätigen?,Könnten Sie mir meine Anmeldung bestätigen?,false,"[""Könnten Sie mir meine Anmeldung bestätigen?""]","[""Könnten Sie mir meine Anmeldung bestätigen?""]",false,false,false,,Which phrase fits if you need confirmation of your registration?
wortschatz,b1_vocab_apotheke_003,false,Ich hole das Medikament in der Apotheke ab.,Ich hole das Medikament in der Apotheke ab.,false,"[""Ich hole das Medikament in der Apotheke ab.""]","[""Ich hole das Medikament in der Apotheke ab.""]",false,false,false,,Which phrase fits if you collect medicine at the pharmacy?
wortschatz,b1_vocab_arzttermin_003,false,"Ich komme später, weil ich einen Arzttermin habe.","Ich komme später, weil ich einen Arzttermin habe.",false,"[""Ich komme später, weil ich einen Arzttermin habe.""]","[""Ich komme später, weil ich einen Arzttermin habe.""]",false,false,false,,Which phrase fits if you are coming later because of a doctor's appointment?
wortschatz,b1_vocab_aufgabe_003,false,Könnten Sie die Aufgabe bitte noch einmal erklären?,Könnten Sie die Aufgabe bitte noch einmal erklären?,false,"[""Könnten Sie die Aufgabe bitte noch einmal erklären?""]","[""Könnten Sie die Aufgabe bitte noch einmal erklären?""]",false,false,false,,Which question fits if you do not understand a task?
wortschatz,b1_vocab_beschwerde_003,false,Ich möchte mich über die Lieferung beschweren.,Ich möchte mich über die Lieferung beschweren.,false,"[""Ich möchte mich über die Lieferung beschweren.""]","[""Ich möchte mich über die Lieferung beschweren.""]",false,false,false,,Which phrase is polite and suitable for a complaint?
wortschatz,b1_vocab_beschwerden_003,false,Welche Beschwerden haben Sie?,Welche Beschwerden haben Sie?,false,"[""Welche Beschwerden haben Sie?""]","[""Welche Beschwerden haben Sie?""]",false,false,false,,Which question does a doctor ask?
wortschatz,b1_vocab_besprechung_003,false,Können wir die Besprechung auf morgen verschieben?,Können wir die Besprechung auf morgen verschieben?,false,"[""Können wir die Besprechung auf morgen verschieben?""]","[""Können wir die Besprechung auf morgen verschieben?""]",false,false,false,,Which phrase fits if a meeting should take place later?
wortschatz,b1_vocab_bestaetigung_003,false,Ich habe noch keine Bestätigung erhalten.,Ich habe noch keine Bestätigung erhalten.,false,"[""Ich habe noch keine Bestätigung erhalten.""]","[""Ich habe noch keine Bestätigung erhalten.""]",false,false,false,,Which phrase fits if you have not received a reply yet?
wortschatz,b1_vocab_bestellung_003,false,Ich habe die falsche Bestellung erhalten.,Ich habe die falsche Bestellung erhalten.,false,"[""Ich habe die falsche Bestellung erhalten.""]","[""Ich habe die falsche Bestellung erhalten.""]",false,false,false,,Which phrase fits if you received something different?
wortschatz,b1_vocab_bewerbung_003,false,Im Anhang finden Sie meine Bewerbungsunterlagen.,Im Anhang finden Sie meine Bewerbungsunterlagen.,false,"[""Im Anhang finden Sie meine Bewerbungsunterlagen.""]","[""Im Anhang finden Sie meine Bewerbungsunterlagen.""]",false,false,false,,Which phrase fits in an application email?
wortschatz,b1_vocab_erfahrung_003,false,Ich habe Erfahrung im Umgang mit Kunden.,Ich habe Erfahrung im Umgang mit Kunden.,false,"[""Ich habe Erfahrung im Umgang mit Kunden.""]","[""Ich habe Erfahrung im Umgang mit Kunden.""]",false,false,false,,Which phrase fits in a job application?
wortschatz,b1_vocab_fehlermeldung_003,false,"Ich bekomme eine Fehlermeldung, wenn ich mich einlogge.","Ich bekomme eine Fehlermeldung, wenn ich mich einlogge.",false,"[""Ich bekomme eine Fehlermeldung, wenn ich mich einlogge.""]","[""Ich bekomme eine Fehlermeldung, wenn ich mich einlogge.""]",false,false,false,,Which phrase fits if you are describing a problem to support?
wortschatz,b1_vocab_formular_003,false,Das Formular ist noch nicht vollständig.,Das Formular ist noch nicht vollständig.,false,"[""Das Formular ist noch nicht vollständig.""]","[""Das Formular ist noch nicht vollständig.""]",false,false,false,,Which phrase fits if information is missing?
wortschatz,b1_vocab_geraet_003,false,Das Gerät lässt sich nicht einschalten.,Das Gerät lässt sich nicht einschalten.,false,"[""Das Gerät lässt sich nicht einschalten.""]","[""Das Gerät lässt sich nicht einschalten.""]",false,false,false,,Which phrase fits if a device will not turn on?
wortschatz,b1_vocab_gesundheitskarte_003,false,Bitte zeigen Sie Ihre Gesundheitskarte vor.,Bitte zeigen Sie Ihre Gesundheitskarte vor.,false,"[""Bitte zeigen Sie Ihre Gesundheitskarte vor.""]","[""Bitte zeigen Sie Ihre Gesundheitskarte vor.""]",false,false,false,,Which phrase fits at the doctor's office?
wortschatz,b1_vocab_krankenkasse_003,false,Könnten Sie mir bitte die Informationen schicken?,Könnten Sie mir bitte die Informationen schicken?,false,"[""Könnten Sie mir bitte die Informationen schicken?""]","[""Könnten Sie mir bitte die Informationen schicken?""]",false,false,false,,Which question fits if you need information from the health insurance provider?
wortschatz,b1_vocab_krankheit_003,false,Ich bin leider krank und kann heute nicht kommen.,Ich bin leider krank und kann heute nicht kommen.,false,"[""Ich bin leider krank und kann heute nicht kommen.""]","[""Ich bin leider krank und kann heute nicht kommen.""]",false,false,false,,Which phrase fits in a short message to the course?
wortschatz,b1_vocab_krankmeldung_003,false,Ich gebe die Krankmeldung morgen ab.,Ich gebe die Krankmeldung morgen ab.,false,"[""Ich gebe die Krankmeldung morgen ab.""]","[""Ich gebe die Krankmeldung morgen ab.""]",false,false,false,,Which phrase fits if the course needs a sickness notification?
wortschatz,b1_vocab_lebenslauf_003,false,Ich habe meinen Lebenslauf angehängt.,Ich habe meinen Lebenslauf angehängt.,false,"[""Ich habe meinen Lebenslauf angehängt.""]","[""Ich habe meinen Lebenslauf angehängt.""]",false,false,false,,Which phrase fits if you are sending your CV with the email?
wortschatz,b1_vocab_lieferung_003,false,Die Lieferung ist noch nicht angekommen.,Die Lieferung ist noch nicht angekommen.,false,"[""Die Lieferung ist noch nicht angekommen.""]","[""Die Lieferung ist noch nicht angekommen.""]",false,false,false,,Which phrase fits if the delivery has not arrived yet?
wortschatz,b1_vocab_rechnung_003,false,Der Betrag auf der Rechnung stimmt nicht.,Der Betrag auf der Rechnung stimmt nicht.,false,"[""Der Betrag auf der Rechnung stimmt nicht.""]","[""Der Betrag auf der Rechnung stimmt nicht.""]",false,false,false,,Which phrase fits if the price is wrong?
