currentSourceFile,currentItemId,currentSourceRowId,v02RowId,matchStatus,oldManifestBucket,oldManifestAction,v02Decision,comparisonDecision,recoveryDecision,proposedBucket,proposedAction,currentTaskType,currentResponseSurface,targetFamily,hasV02ReplacementFields,replacementFieldList,currentPrompt,v02Prompt,currentStimulus,v02Stimulus,currentOptions,v02Options,currentAnswer,v02Answer,currentExplain,v02Explain,quarantineReason,productionReason,legacySeedReason,duplicateLineageStatus,riskFlag,notes
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_063,cat02-w-063,cat02-w-063,matched_lineage_or_unresolved,Core Safe,keep current row unchanged,,,,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,Auswahl,selected_choice_value,CAT02-wortschatz-cat02_w_063,false,,Welches Wort passt? start/begin,,Action verbs,,anfangen | beginnen | anfangen mit | der Kurs,,anfangen,,separable verb placement,,,,,duplicate_v02_same_decision,imported_source_without_replacement_layer_match,
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_064,cat02-w-064,cat02-w-064,matched_lineage_or_unresolved,Core Safe,keep current row unchanged,,,,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,Auswahl,selected_choice_value,CAT02-wortschatz-cat02_w_064,false,,Welches Wort passt? begin/start,,Action verbs,,beginnen | anfangen | der Kurs | der Kursleiter,,beginnen,,register/context differences,,,,,duplicate_v02_same_decision,imported_source_without_replacement_layer_match,
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_065,cat02-w-065,cat02-w-065,matched_lineage_or_unresolved,Core Safe,keep current row unchanged,,,,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,Auswahl,selected_choice_value,CAT02-wortschatz-cat02_w_065,false,,Welches Wort passt? participate,,Action verbs,,teilnehmen | mitmachen | anmelden | der Kurs,,teilnehmen,,wrong preposition: an + dative,,,,,duplicate_v02_same_decision,imported_source_without_replacement_layer_match,
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_066,cat02-w-066,cat02-w-066,matched_lineage_or_unresolved,Core Safe,keep current row unchanged,,,,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,Auswahl,selected_choice_value,CAT02-wortschatz-cat02_w_066,false,,Welches Wort passt? join in/take part,,Action verbs,,mitmachen | teilnehmen | machen | der Kurs,,mitmachen,,separable verb errors,,,,,duplicate_v02_same_decision,imported_source_without_replacement_layer_match,
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_067,cat02-w-067,cat02-w-067,matched_lineage_or_unresolved,Core Safe,keep current row unchanged,,,,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,Auswahl,selected_choice_value,CAT02-wortschatz-cat02_w_067,false,,Welches Wort passt? register/sign in,,Action verbs,,sich anmelden | teilnehmen | einloggen | der Kurs,,sich anmelden,,reflexive omission; CAT12/CAT10 overlap,,,,,duplicate_v02_same_decision,imported_source_without_replacement_layer_match,
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_068,cat02-w-068,cat02-w-068,matched_lineage_or_unresolved,Core Safe,keep current row unchanged,,,,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,Auswahl,selected_choice_value,CAT02-wortschatz-cat02_w_068,false,,Welches Wort passt? introduce oneself,,Action verbs,,sich vorstellen | jemanden vorstellen | bewerben | der Kurs,,sich vorstellen,,reflexive omission,,,,,duplicate_v02_same_decision,imported_source_without_replacement_layer_match,
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_069,cat02-w-069,cat02-w-069,matched_lineage_or_unresolved,Core Safe,keep current row unchanged,,,,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,Auswahl,selected_choice_value,CAT02-wortschatz-cat02_w_069,false,,Welches Wort passt? introduce someone,,Action verbs,,vorstellen | sich vorstellen | der Kurs | der Kursleiter,,vorstellen,,reflexive/non-reflexive confusion,,,,,duplicate_v02_same_decision,imported_source_without_replacement_layer_match,
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_070,cat02-w-070,cat02-w-070,matched_lineage_or_unresolved,Core Safe,keep current row unchanged,,,,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,Auswahl,selected_choice_value,CAT02-wortschatz-cat02_w_070,false,,Welches Wort passt? explain,,Action verbs,,erklären | zeigen | wiederholen | der Kurs,,erklären,,explain vs show/repeat,,,,,duplicate_v02_same_decision,imported_source_without_replacement_layer_match,
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_071,cat02-w-071,cat02-w-071,matched_lineage_or_unresolved,Core Safe,keep current row unchanged,,,,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,Auswahl,selected_choice_value,CAT02-wortschatz-cat02_w_071,false,,Welches Wort passt? repeat,,Action verbs,,wiederholen | erklären | buchstabieren | der Kurs,,wiederholen,,wrong target in clarification requests,,,,,duplicate_v02_same_decision,imported_source_without_replacement_layer_match,
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_072,cat02-w-072,cat02-w-072,matched_lineage_or_unresolved,Core Safe,keep current row unchanged,,,,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,Auswahl,selected_choice_value,CAT02-wortschatz-cat02_w_072,false,,Welches Wort passt? spell out,,Action verbs,,buchstabieren | schreiben | wiederholen | der Kurs,,buchstabieren,,spelling vs writing confusion,,,,,duplicate_v02_same_decision,imported_source_without_replacement_layer_match,
