itemId,sourceFile,issueType,classification,routeExposure,currentExplainText,reason
b1_connector_116,b1-connectors.js,feedback_mismatch_risk,QUARANTINE_OR_DEFER,production_only,Production card: use the target connector actively in a short B1-relevant response.,Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_connector_117,b1-connectors.js,feedback_mismatch_risk,QUARANTINE_OR_DEFER,production_only,Production card: use the target connector actively in a short B1-relevant response.,Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_connector_118,b1-connectors.js,feedback_mismatch_risk,QUARANTINE_OR_DEFER,production_only,Production card: use the target connector actively in a short B1-relevant response.,Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_connector_119,b1-connectors.js,feedback_mismatch_risk,QUARANTINE_OR_DEFER,production_only,Production card: use the target connector actively in a short B1-relevant response.,Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_connector_120,b1-connectors.js,feedback_mismatch_risk,QUARANTINE_OR_DEFER,production_only,Production card: use the target connector actively in a short B1-relevant response.,Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_redemittel_073,b1-redemittel.js,feedback_mismatch_risk,EXCEPTION_REVIEW,normal_auto_graded_or_route_dependent,„Erst morgen wieder“ states the earliest possible return clearly.,Needs human review before any source change.
b1_redemittel_084,b1-redemittel.js,feedback_mismatch_risk,QUARANTINE_OR_DEFER,production_only,"Use the phrases actively, then mark the card practised.",Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_redemittel_085,b1-redemittel.js,feedback_mismatch_risk,QUARANTINE_OR_DEFER,production_only,"Use the phrases actively, then mark the card practised.",Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_redemittel_086,b1-redemittel.js,feedback_mismatch_risk,QUARANTINE_OR_DEFER,production_only,"Use the phrases actively, then mark the card practised.",Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_redemittel_087,b1-redemittel.js,feedback_mismatch_risk,QUARANTINE_OR_DEFER,production_only,"Use the phrases actively, then mark the card practised.",Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_redemittel_088,b1-redemittel.js,feedback_mismatch_risk,QUARANTINE_OR_DEFER,production_only,"Use the phrases actively, then mark the card practised.",Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_redemittel_089,b1-redemittel.js,feedback_mismatch_risk,QUARANTINE_OR_DEFER,production_only,"Use the phrases actively, then mark the card practised.",Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_redemittel_090,b1-redemittel.js,feedback_mismatch_risk,QUARANTINE_OR_DEFER,production_only,"Use the phrases actively, then mark the card practised.",Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_vocab_termin_004,b1-wortschatz.js,feedback_mismatch_risk,EXCEPTION_REVIEW,normal_auto_graded_or_route_dependent,„Einen Termin vereinbaren“ is the standard phrase; „machen“ should not be marked as a simple grammar error.,Needs human review before any source change.
b1_vocab_bestaetigung_004,b1-wortschatz.js,feedback_mismatch_risk,EXCEPTION_REVIEW,normal_auto_graded_or_route_dependent,die Bestätigung → eine Bestätigung.,Needs human review before any source change.
b1_vocab_unterlagen_004,b1-wortschatz.js,feedback_mismatch_risk,EXCEPTION_REVIEW,normal_auto_graded_or_route_dependent,"In application contexts, „die Unterlagen“ is the usual plural for documents.",Needs human review before any source change.
b1_vocab_formular_004,b1-wortschatz.js,feedback_mismatch_risk,EXCEPTION_REVIEW,normal_auto_graded_or_route_dependent,das Formular → das Formular.,Needs human review before any source change.
b1_vocab_beschwerde_004,b1-wortschatz.js,feedback_mismatch_risk,EXCEPTION_REVIEW,normal_auto_graded_or_route_dependent,die Beschwerde → eine Beschwerde.,Needs human review before any source change.
b1_vocab_lieferung_004,b1-wortschatz.js,feedback_mismatch_risk,EXCEPTION_REVIEW,normal_auto_graded_or_route_dependent,"die Lieferung is singular: ist, not sind.",Needs human review before any source change.
b1_vocab_bestellung_004,b1-wortschatz.js,feedback_mismatch_risk,EXCEPTION_REVIEW,normal_auto_graded_or_route_dependent,ändern takes an accusative object: die Bestellung.,Needs human review before any source change.
b1_vocab_rechnung_004,b1-wortschatz.js,feedback_mismatch_risk,EXCEPTION_REVIEW,normal_auto_graded_or_route_dependent,die Rechnung → die Rechnung.,Needs human review before any source change.
b1_vocab_geraet_004,b1-wortschatz.js,feedback_mismatch_risk,EXCEPTION_REVIEW,normal_auto_graded_or_route_dependent,das Gerät → das Gerät.,Needs human review before any source change.
b1_vocab_rueckmeldung_004,b1-wortschatz.js,feedback_mismatch_risk,EXCEPTION_REVIEW,normal_auto_graded_or_route_dependent,die Rückmeldung → Ihre Rückmeldung.,Needs human review before any source change.
