itemId,sourceFile,classification,fieldChanged,beforeExplainText,afterExplainText,answerKey,acceptedAnswers,sourceCleanupBatch,passFail,notes
b1_vocab_bestaetigung_001,b1-wortschatz.js,FIX_SAFE,micro_rule,die Bestätigung = confirmation.,Completed: eine Bestätigung für den Termin. Bestätigung is the written confirmation of an appointment or booking.,Bestätigung,"[""Bestätigung""]",v0.85.7-under-contextualised-clozes,PASS,Replace bare definition with completed phrase plus appointment-confirmation function.
b1_vocab_unterlagen_001,b1-wortschatz.js,FIX_SAFE,micro_rule,die Unterlagen = documents/papers; usually plural.,Completed: die Unterlagen. Unterlagen is normally plural for documents or papers you need to send.,Unterlagen,"[""Unterlagen""]",v0.85.7-under-contextualised-clozes,PASS,Keep plural document point and link it to sending documents.
b1_vocab_lieferung_001,b1-wortschatz.js,FIX_SAFE,micro_rule,die Lieferung = delivery.,"Completed: Die Lieferung meiner Bestellung kommt morgen an. Lieferung is the delivery, not the order itself.",Lieferung,"[""Lieferung""]",v0.85.7-under-contextualised-clozes,PASS,Explain delivery versus order in the completed sentence context.
b1_vocab_bestellung_001,b1-wortschatz.js,FIX_SAFE,micro_rule,die Bestellung = order.,Completed: meine Bestellung ändern. Bestellung means the order you placed.,Bestellung,"[""Bestellung""]",v0.85.7-under-contextualised-clozes,PASS,Tie Bestellung to the placed order being changed.
b1_vocab_rechnung_001,b1-wortschatz.js,FIX_SAFE,micro_rule,die Rechnung = invoice/bill.,Completed: die Rechnung noch einmal schicken. Rechnung is the invoice or bill for payment.,Rechnung,"[""Rechnung""]",v0.85.7-under-contextualised-clozes,PASS,Tie Rechnung to payment/invoice context.
b1_vocab_geraet_001,b1-wortschatz.js,FIX_SAFE,micro_rule,das Gerät = device.,Completed: Das technische Gerät funktioniert nicht. Gerät is a device or piece of equipment.,Gerät,"[""Gerät""]",v0.85.7-under-contextualised-clozes,PASS,Tie Gerät to technical equipment.
b1_vocab_geraet_002,b1-wortschatz.js,FIX_SAFE,micro_rule,mit + Dativ: mit dem Gerät.,"Completed: mit dem Gerät. mit takes dative, so dem Gerät.",Gerät,"[""Gerät""]",v0.85.7-under-contextualised-clozes,PASS,Keep the case trigger visible.
b1_vocab_krankmeldung_001,b1-wortschatz.js,FIX_SAFE,micro_rule,die Krankmeldung = sick note or sickness notification.,Completed: die Krankmeldung per E-Mail schicken. Krankmeldung is the sickness notification or sick note.,Krankmeldung,"[""Krankmeldung""]",v0.85.7-under-contextualised-clozes,PASS,Tie Krankmeldung to sending the illness notification.
b1_vocab_arzttermin_001,b1-wortschatz.js,FIX_SAFE,micro_rule,der Arzttermin = doctor’s appointment.,Completed: einen Arzttermin beim Arzt. haben takes an accusative object: einen Arzttermin.,Arzttermin,"[""Arzttermin""]",v0.85.7-under-contextualised-clozes,PASS,Name Arzttermin and the accusative object form.
b1_vocab_krankenkasse_001,b1-wortschatz.js,FIX_SAFE,micro_rule,die Krankenkasse = health insurance provider.,Completed: meine Krankenkasse anrufen. Krankenkasse is the health insurance provider.,Krankenkasse,"[""Krankenkasse""]",v0.85.7-under-contextualised-clozes,PASS,Tie Krankenkasse to the call context.
