issueType,bankKey,itemId,status,routeKey,surface,prompt,answer,reason
under_contextualised_cloze_without_cue,wortschatz,b1_vocab_termin_001,active,wortschatz,cloze,Ich möchte einen ___ vereinbaren.,Termin,Short cloze prompt has no visible cue field.
under_contextualised_cloze_without_cue,wortschatz,b1_vocab_termin_002,active,wortschatz,cloze,Leider muss ich den Termin ___.,absagen,Short cloze prompt has no visible cue field.
under_contextualised_cloze_without_cue,wortschatz,b1_vocab_bestaetigung_001,active,wortschatz,cloze,Könnten Sie mir bitte eine ___ per E-Mail schicken?,Bestätigung,Short cloze prompt has no visible cue field.
under_contextualised_cloze_without_cue,wortschatz,b1_vocab_bestaetigung_002,active,wortschatz,cloze,Ich möchte den Termin schriftlich ___.,bestätigen,Short cloze prompt has no visible cue field.
under_contextualised_cloze_without_cue,wortschatz,b1_vocab_unterlagen_001,active,wortschatz,cloze,Bitte schicken Sie mir die ___ bis Freitag.,Unterlagen,Short cloze prompt has no visible cue field.
under_contextualised_cloze_without_cue,wortschatz,b1_vocab_unterlagen_002,active,wortschatz,cloze,Ich habe die Unterlagen als PDF ___.,geschickt,Short cloze prompt has no visible cue field.
under_contextualised_cloze_without_cue,wortschatz,b1_vocab_formular_001,active,wortschatz,cloze,Bitte füllen Sie das ___ vollständig aus.,Formular,Short cloze prompt has no visible cue field.
under_contextualised_cloze_without_cue,wortschatz,b1_vocab_formular_002,active,wortschatz,cloze,Das Formular muss ich noch ___.,ausfüllen,Short cloze prompt has no visible cue field.
under_contextualised_cloze_without_cue,wortschatz,b1_vocab_beschwerde_001,active,wortschatz,cloze,Der Kunde ist unzufrieden und schreibt eine ___.,Beschwerde,Short cloze prompt has no visible cue field.
under_contextualised_cloze_without_cue,wortschatz,b1_vocab_beschwerde_002,active,wortschatz,cloze,Ich möchte eine Beschwerde ___.,einreichen,Short cloze prompt has no visible cue field.
under_contextualised_cloze_without_cue,wortschatz,b1_vocab_lieferung_001,active,wortschatz,cloze,Die ___ kommt leider erst morgen an.,Lieferung,Short cloze prompt has no visible cue field.
under_contextualised_cloze_without_cue,wortschatz,b1_vocab_lieferung_002,active,wortschatz,cloze,Die Lieferung wurde gestern ___.,verschickt,Short cloze prompt has no visible cue field.
