currentSourceFile,currentItemId,currentSourceRowId,v02RowId,proposedBucket,proposedAction,applyStatus,appliedFields,applyReason,replacementFieldList,currentPrompt,v02Prompt,currentStimulus,v02Stimulus,currentAnswer,v02Answer,currentExplain,v02Explain,quarantineReason,productionReason,legacySeedReason,riskFlag,notes
content/b1-connectors.js,b1_connector_116,,,PRODUCTION_PRACTICE,separate from normal auto-graded practice in future apply patch,production_isolated,normalAutoGradedPracticeEligible; v02ApplyGateStatus,self-marked/production indicators present,,"Sprechen/Schreiben: Erklären Sie, warum Sie heute nicht zur Arbeit kommen können. Verwenden Sie einmal weil.",,Explain why you cannot come to work today. Use weil once.,,self_check,,Production card: use the target connector actively in a short B1-relevant response.,,,self-marked/production indicators present,,,
content/b1-connectors.js,b1_connector_117,,,PRODUCTION_PRACTICE,separate from normal auto-graded practice in future apply patch,production_isolated,normalAutoGradedPracticeEligible; v02ApplyGateStatus,self-marked/production indicators present,,"Sprechen/Schreiben: Sagen Sie, dass Sie wenig Erfahrung haben, aber sich trotzdem bewerben. Verwenden Sie obwohl oder trotzdem.",,Say that you have little experience but are applying anyway. Use obwohl or trotzdem.,,self_check,,Production card: use the target connector actively in a short B1-relevant response.,,,self-marked/production indicators present,,,
content/b1-connectors.js,b1_connector_118,,,PRODUCTION_PRACTICE,separate from normal auto-graded practice in future apply patch,production_isolated,normalAutoGradedPracticeEligible; v02ApplyGateStatus,self-marked/production indicators present,,"Sprechen/Schreiben: Erklären Sie, warum Sie anrufen. Verwenden Sie um ... zu oder damit.",,Explain why you are calling. Use um ... zu or damit.,,self_check,,Production card: use the target connector actively in a short B1-relevant response.,,,self-marked/production indicators present,,,
content/b1-connectors.js,b1_connector_119,,,PRODUCTION_PRACTICE,separate from normal auto-graded practice in future apply patch,production_isolated,normalAutoGradedPracticeEligible; v02ApplyGateStatus,self-marked/production indicators present,,"Sprechen/Schreiben: Beschreiben Sie kurz, was Sie machen, bevor Sie nach Hause gehen.",,Say briefly what you do before going home.,,self_check,,Production card: use the target connector actively in a short B1-relevant response.,,,self-marked/production indicators present,,,
content/b1-connectors.js,b1_connector_120,,,PRODUCTION_PRACTICE,separate from normal auto-graded practice in future apply patch,production_isolated,normalAutoGradedPracticeEligible; v02ApplyGateStatus,self-marked/production indicators present,,Sprechen/Schreiben: Beschreiben Sie zwei Schritte bei einer Bestellung. Verwenden Sie nachdem.,,Describe two steps in an order process. Use nachdem.,,self_check,,Production card: use the target connector actively in a short B1-relevant response.,,,self-marked/production indicators present,,,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_077,cat02-pf-077,cat02-pf-077,PRODUCTION_PRACTICE,separate from normal auto-graded practice in future apply patch,production_isolated,normalAutoGradedPracticeEligible; v02ApplyGateStatus,self-marked/production indicators present,prompt; stimulus/learnerCue; answer/correctAnswer,"Schreibe einen kurzen Satz. Scenario: You introduce yourself on the first course day. Write one sentence. Useful phrases: `Ich bin neu im Kurs`, `Ich heiße ...`. Checklist: complete sentence; says you are new; no automatic grading.",Schreibe einen kurzen Satz.,,"Scenario: You introduce yourself on the first course day. Write one sentence. Useful phrases: `Ich bin neu im Kurs`, `Ich heiße ...`. Checklist: complete sentence; says you are new; no automatic grading.",self_check,Self-marked,Self-check: Did you say you are new and use a complete sentence?,Self-check: Did you say you are new and use a complete sentence?,,self-marked/production indicators present,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_078,cat02-pf-078,cat02-pf-078,PRODUCTION_PRACTICE,separate from normal auto-graded practice in future apply patch,production_isolated,normalAutoGradedPracticeEligible; v02ApplyGateStatus,self-marked/production indicators present,prompt; stimulus/learnerCue; answer/correctAnswer,"Schreibe einen kurzen Satz. Scenario: You are in the building and need the course room. Write one question. Useful phrases: `Wo ist ...?`, `der Kursraum`. Checklist: asks for a place; uses a complete question; no automatic grading.",Schreibe einen kurzen Satz.,,"Scenario: You are in the building and need the course room. Write one question. Useful phrases: `Wo ist ...?`, `der Kursraum`. Checklist: asks for a place; uses a complete question; no automatic grading.",self_check,Self-marked,Self-check: Did you ask for a place with `Wo ist ...?`,Self-check: Did you ask for a place with `Wo ist ...?`,,self-marked/production indicators present,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_079,cat02-pf-079,cat02-pf-079,PRODUCTION_PRACTICE,separate from normal auto-graded practice in future apply patch,production_isolated,normalAutoGradedPracticeEligible; v02ApplyGateStatus,self-marked/production indicators present,prompt; stimulus/learnerCue; answer/correctAnswer,"Schreibe einen kurzen Satz. Scenario: You did not hear something clearly. Write one polite request. Useful phrases: `Können Sie ...?`, `bitte`, `wiederholen`. Checklist: polite form; asks for repetition; no automatic grading.",Schreibe einen kurzen Satz.,,"Scenario: You did not hear something clearly. Write one polite request. Useful phrases: `Können Sie ...?`, `bitte`, `wiederholen`. Checklist: polite form; asks for repetition; no automatic grading.",self_check,Self-marked,Self-check: Did you ask politely and include `bitte`?,Self-check: Did you ask politely and include `bitte`?,,self-marked/production indicators present,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_080,cat02-pf-080,cat02-pf-080,PRODUCTION_PRACTICE,separate from normal auto-graded practice in future apply patch,production_isolated,normalAutoGradedPracticeEligible; v02ApplyGateStatus,self-marked/production indicators present,prompt; stimulus/learnerCue; answer/correctAnswer,"Schreibe einen kurzen Satz. Scenario: Someone is speaking too fast. Write one polite request. Useful phrases: `Könnten Sie bitte ...?`, `langsamer sprechen`. Checklist: polite form; asks for slower speech; no automatic grading.",Schreibe einen kurzen Satz.,,"Scenario: Someone is speaking too fast. Write one polite request. Useful phrases: `Könnten Sie bitte ...?`, `langsamer sprechen`. Checklist: polite form; asks for slower speech; no automatic grading.",self_check,Self-marked,Self-check: Did you use a polite request?,Self-check: Did you use a polite request?,,self-marked/production indicators present,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_081,cat02-pf-081,cat02-pf-081,PRODUCTION_PRACTICE,separate from normal auto-graded practice in future apply patch,production_isolated,normalAutoGradedPracticeEligible; v02ApplyGateStatus,self-marked/production indicators present,prompt; stimulus/learnerCue; answer/correctAnswer,"Schreibe einen kurzen Satz. Scenario: You need the course materials. Write one sentence. Useful phrases: `Ich brauche ...`, `die Unterlagen`. Checklist: states what you need; no automatic grading.",Schreibe einen kurzen Satz.,,"Scenario: You need the course materials. Write one sentence. Useful phrases: `Ich brauche ...`, `die Unterlagen`. Checklist: states what you need; no automatic grading.",self_check,Self-marked,Self-check: Did you state what you need?,Self-check: Did you state what you need?,,self-marked/production indicators present,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_082,cat02-pf-082,cat02-pf-082,PRODUCTION_PRACTICE,separate from normal auto-graded practice in future apply patch,production_isolated,normalAutoGradedPracticeEligible; v02ApplyGateStatus,self-marked/production indicators present,prompt; stimulus/learnerCue; answer/correctAnswer,"Schreibe einen kurzen Satz. Scenario: You do not know who can help you. Write one question. Useful phrases: `Wer ist ...?`, `der richtige Ansprechpartner`. Checklist: asks for the contact person; no automatic grading.",Schreibe einen kurzen Satz.,,"Scenario: You do not know who can help you. Write one question. Useful phrases: `Wer ist ...?`, `der richtige Ansprechpartner`. Checklist: asks for the contact person; no automatic grading.",self_check,Self-marked,Self-check: Did you ask for the contact person?,Self-check: Did you ask for the contact person?,,self-marked/production indicators present,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_083,cat02-pf-083,cat02-pf-083,PRODUCTION_PRACTICE,separate from normal auto-graded practice in future apply patch,production_isolated,normalAutoGradedPracticeEligible; v02ApplyGateStatus,self-marked/production indicators present,prompt; stimulus/learnerCue; answer/correctAnswer,Schreibe einen kurzen Satz. Scenario: You have not understood something yet. Write one sentence. Useful phrases: `Ich habe ... noch nicht verstanden`. Checklist: says what happened; no automatic grading.,Schreibe einen kurzen Satz.,,Scenario: You have not understood something yet. Write one sentence. Useful phrases: `Ich habe ... noch nicht verstanden`. Checklist: says what happened; no automatic grading.,self_check,Self-marked,Self-check: Did you say what you did not understand?,Self-check: Did you say what you did not understand?,,self-marked/production indicators present,,duplicate_v02_lineage_resolved,
