issueType,bankKey,itemId,sourceFile,fieldChanged,beforePrompt,afterPrompt,beforeCue,afterCue,status
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_termin_003,content/b1-wortschatz.js,learnerCue added,Sie können morgen nicht. Welche Formulierung verschiebt den Termin?,Sie können morgen nicht. Welche Formulierung verschiebt den Termin?,,Which phrase fits if you want to change an appointment?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_bestaetigung_003,content/b1-wortschatz.js,learnerCue added,Sie haben noch keine Bestätigung bekommen. Welche Formulierung passt?,Sie haben noch keine Bestätigung bekommen. Welche Formulierung passt?,,Which phrase fits if you have not received a reply yet?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_unterlagen_003,content/b1-wortschatz.js,learnerCue added,Dokumente fehlen noch. Welche Formulierung passt?,Dokumente fehlen noch. Welche Formulierung passt?,,Which phrase fits if documents are still missing?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_formular_003,content/b1-wortschatz.js,learnerCue added,Angaben fehlen im Formular. Welche Formulierung passt?,Angaben fehlen im Formular. Welche Formulierung passt?,,Which phrase fits if information is missing?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_beschwerde_003,content/b1-wortschatz.js,learnerCue added,Welche Formulierung ist höflich und passend für eine Beschwerde?,Welche Formulierung ist höflich und passend für eine Beschwerde?,,Which phrase is polite and suitable for a complaint?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_lieferung_003,content/b1-wortschatz.js,learnerCue added,Die Ware ist noch nicht da. Welche Formulierung passt?,Die Ware ist noch nicht da. Welche Formulierung passt?,,Which phrase fits if the delivery has not arrived yet?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_bestellung_003,content/b1-wortschatz.js,learnerCue added,Sie haben den falschen Artikel bekommen. Welche Formulierung passt?,Sie haben den falschen Artikel bekommen. Welche Formulierung passt?,,Which phrase fits if you received something different?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_rechnung_003,content/b1-wortschatz.js,learnerCue added,Der Preis ist falsch. Welche Formulierung passt?,Der Preis ist falsch. Welche Formulierung passt?,,Which phrase fits if the price is wrong?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_geraet_003,content/b1-wortschatz.js,learnerCue added,Ein Gerät geht nicht an. Welche Formulierung passt?,Ein Gerät geht nicht an. Welche Formulierung passt?,,Which phrase fits if a device will not turn on?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_rueckmeldung_003,content/b1-wortschatz.js,learnerCue added,Welche Formulierung passt gut am Ende einer höflichen E-Mail?,Welche Formulierung passt gut am Ende einer höflichen E-Mail?,,Which phrase fits well at the end of a polite email?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_krankheit_003,content/b1-wortschatz.js,learnerCue added,Sie schreiben dem Kurs wegen Krankheit. Welche Formulierung passt?,Sie schreiben dem Kurs wegen Krankheit. Welche Formulierung passt?,,Which phrase fits in a short message to the course?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_krankmeldung_003,content/b1-wortschatz.js,learnerCue added,Der Kurs braucht den Krankmeldungsnachweis. Welche Formulierung passt?,Der Kurs braucht den Krankmeldungsnachweis. Welche Formulierung passt?,,Which phrase fits if the course needs a sickness notification?,cleaned
