itemId,sourceFile,sourceRowId,moduleKey,categoryId,routeKey,taskType,answerMode,responseSurface,communicativeFunction,register,targetFamily,reviewGroup,normalPracticeEligible,normalAutoGradedPracticeEligible,activeB1Evidence,reviewOnly,v02ApplyGateStatus,productionFlag,hasPrompt,hasStimulus,hasChoices,hasAnswer,hasFeedback,hasFunctionCue,safeForAutoGradedRedemittel,safeForProductionRoute,blockedReason,recommendedAction
b1_redemittel_001,content/b1-redemittel.js,b1_redemittel_001,redemittel,formal_email,redemittel,redemittel_cloze,typed,cloze,email,formal email,red_formal_thanks,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_002,content/b1-redemittel.js,b1_redemittel_002,redemittel,formal_email,redemittel,redemittel_cloze,typed,cloze,email,formal email,red_formal_purpose,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_003,content/b1-redemittel.js,b1_redemittel_003,redemittel,formal_email,redemittel,redemittel_cloze,typed,cloze,email,formal email,red_formal_reply,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_004,content/b1-redemittel.js,b1_redemittel_004,redemittel,formal_email,redemittel,redemittel_cloze,typed,cloze,email,formal email,red_formal_closing,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_005,content/b1-redemittel.js,b1_redemittel_005,redemittel,formal_email,redemittel,redemittel_cloze,typed,cloze,email,formal email,red_formal_greeting_frau,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_006,content/b1-redemittel.js,b1_redemittel_006,redemittel,formal_email,redemittel,redemittel_cloze,typed,cloze,email,formal email,red_formal_greeting_herr,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_007,content/b1-redemittel.js,b1_redemittel_007,redemittel,formal_email,redemittel,redemittel_cloze,typed,cloze,email,formal email,red_formal_thanks,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_008,content/b1-redemittel.js,b1_redemittel_008,redemittel,formal_email,redemittel,redemittel_cloze,typed,cloze,email,formal email,red_formal_info,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_009,content/b1-redemittel.js,b1_redemittel_009,redemittel,formal_email,redemittel,phrase_choice,selected_or_typed,choice,email,formal email,red_formal_greeting_frau,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_010,content/b1-redemittel.js,b1_redemittel_010,redemittel,formal_email,redemittel,phrase_choice,selected_or_typed,choice,email,formal email,red_formal_closing,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_011,content/b1-redemittel.js,b1_redemittel_011,redemittel,formal_email,redemittel,Kontrast,selected_choice_value,choice,email,formal email,red_formal_reply,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_012,content/b1-redemittel.js,b1_redemittel_012,redemittel,formal_email,redemittel,Kontrast,selected_choice_value,choice,email,formal email,red_formal_purpose,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_013,content/b1-redemittel.js,b1_redemittel_013,redemittel,formal_email,redemittel,redemittel_cloze,typed,cloze,email,formal email,red_formal_thanks,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_014,content/b1-redemittel.js,b1_redemittel_014,redemittel,formal_email,redemittel,redemittel_cloze,typed,cloze,email,formal email,red_formal_interest,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_015,content/b1-redemittel.js,b1_redemittel_015,redemittel,formal_email,redemittel,redemittel_cloze,typed,cloze,email,formal email,red_formal_reply,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_016,content/b1-redemittel.js,b1_redemittel_016,redemittel,appointment,redemittel,redemittel_cloze,typed,cloze,appointment,neutral,red_appointment_arrange,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_017,content/b1-redemittel.js,b1_redemittel_017,redemittel,appointment,redemittel,redemittel_cloze,typed,cloze,appointment,neutral,red_appointment_move,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
