queueId,itemId,sourceRowId,sourceFile,originQueueFile,originVersion,issueType,issueCodes,currentManifestStatus,currentRouteKey,currentModuleKey,currentContentBankKey,currentTaskType,currentAnswerMode,currentResponseSurface,normalPracticeEligible,normalAutoGradedPracticeEligible,activeB1Evidence,reviewOnly,v02ApplyGateStatus,sourceCleanupBatch,feedbackCleanupBatch,metadataProvenance,metadataConfidence,currentResolutionBucket,currentResolutionReason,recommendedNextAction,riskLevel
rq-00011,v080149_cat02_practice_family_cat02_pf_002,cat02-pf-002,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,cloze_needs_review;normal_practice_excluded_by_display_schema,cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,redemittel_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,QUARANTINED_NO_ACTION_NOW,"Current row is quarantined, review-only, inactive, or normal-practice ineligible.",No learner-facing change now.,low
rq-00012,v080149_cat02_practice_family_cat02_pf_003,cat02-pf-003,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,cloze_needs_review;normal_practice_excluded_by_display_schema,cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,redemittel_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,QUARANTINED_NO_ACTION_NOW,"Current row is quarantined, review-only, inactive, or normal-practice ineligible.",No learner-facing change now.,low
rq-00015,v080149_cat02_practice_family_cat02_pf_008,cat02-pf-008,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,cloze_needs_review;normal_practice_excluded_by_display_schema,cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,redemittel_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,QUARANTINED_NO_ACTION_NOW,"Current row is quarantined, review-only, inactive, or normal-practice ineligible.",No learner-facing change now.,low
rq-00016,v080149_cat02_practice_family_cat02_pf_009,cat02-pf-009,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,cloze_needs_review;normal_practice_excluded_by_display_schema,cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,QUARANTINED_NO_ACTION_NOW,"Current row is quarantined, review-only, inactive, or normal-practice ineligible.",No learner-facing change now.,low
rq-00017,v080149_cat02_practice_family_cat02_pf_010,cat02-pf-010,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,cloze_needs_review;normal_practice_excluded_by_display_schema,cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,redemittel_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,QUARANTINED_NO_ACTION_NOW,"Current row is quarantined, review-only, inactive, or normal-practice ineligible.",No learner-facing change now.,low
rq-00019,v080149_cat02_practice_family_cat02_pf_012,cat02-pf-012,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,cloze_needs_review;normal_practice_excluded_by_display_schema,cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,QUARANTINED_NO_ACTION_NOW,"Current row is quarantined, review-only, inactive, or normal-practice ineligible.",No learner-facing change now.,low
rq-00022,v080149_cat02_practice_family_cat02_pf_016,cat02-pf-016,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,cloze_needs_review;normal_practice_excluded_by_display_schema,cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,QUARANTINED_NO_ACTION_NOW,"Current row is quarantined, review-only, inactive, or normal-practice ineligible.",No learner-facing change now.,low
rq-00023,v080149_cat02_practice_family_cat02_pf_017,cat02-pf-017,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,cloze_needs_review;normal_practice_excluded_by_display_schema,cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,QUARANTINED_NO_ACTION_NOW,"Current row is quarantined, review-only, inactive, or normal-practice ineligible.",No learner-facing change now.,low
rq-00024,v080149_cat02_practice_family_cat02_pf_018,cat02-pf-018,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,cloze_needs_review;normal_practice_excluded_by_display_schema,cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,QUARANTINED_NO_ACTION_NOW,"Current row is quarantined, review-only, inactive, or normal-practice ineligible.",No learner-facing change now.,low
rq-00025,v080149_cat02_practice_family_cat02_pf_019,cat02-pf-019,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,cloze_needs_review;normal_practice_excluded_by_display_schema,cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,QUARANTINED_NO_ACTION_NOW,"Current row is quarantined, review-only, inactive, or normal-practice ineligible.",No learner-facing change now.,low
rq-00027,v080149_cat02_practice_family_cat02_pf_022,cat02-pf-022,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,cloze_needs_review;normal_practice_excluded_by_display_schema,cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,QUARANTINED_NO_ACTION_NOW,"Current row is quarantined, review-only, inactive, or normal-practice ineligible.",No learner-facing change now.,low
rq-00028,v080149_cat02_practice_family_cat02_pf_023,cat02-pf-023,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,cloze_needs_review;normal_practice_excluded_by_display_schema,cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,QUARANTINED_NO_ACTION_NOW,"Current row is quarantined, review-only, inactive, or normal-practice ineligible.",No learner-facing change now.,low
rq-00032,v080149_cat02_practice_family_cat02_pf_028,cat02-pf-028,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,cloze_needs_review;normal_practice_excluded_by_display_schema,cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,QUARANTINED_NO_ACTION_NOW,"Current row is quarantined, review-only, inactive, or normal-practice ineligible.",No learner-facing change now.,low
rq-00034,v080149_cat02_practice_family_cat02_pf_030,cat02-pf-030,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,cloze_needs_review;normal_practice_excluded_by_display_schema,cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,QUARANTINED_NO_ACTION_NOW,"Current row is quarantined, review-only, inactive, or normal-practice ineligible.",No learner-facing change now.,low
rq-00035,v080149_cat02_practice_family_cat02_pf_031,cat02-pf-031,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,cloze_needs_review;normal_practice_excluded_by_display_schema,cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,QUARANTINED_NO_ACTION_NOW,"Current row is quarantined, review-only, inactive, or normal-practice ineligible.",No learner-facing change now.,low
rq-00036,v080149_cat02_practice_family_cat02_pf_032,cat02-pf-032,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,cloze_needs_review;normal_practice_excluded_by_display_schema,cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,QUARANTINED_NO_ACTION_NOW,"Current row is quarantined, review-only, inactive, or normal-practice ineligible.",No learner-facing change now.,low
rq-00037,v080149_cat02_practice_family_cat02_pf_033,cat02-pf-033,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,cloze_needs_review;normal_practice_excluded_by_display_schema,cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,QUARANTINED_NO_ACTION_NOW,"Current row is quarantined, review-only, inactive, or normal-practice ineligible.",No learner-facing change now.,low
