itemId,sourceFile,sourceRowId,currentStatus,routeExposure,taskType,answerMode,prompt,stimulus,answerKey,acceptedAnswers,explainText,issueType,severity,safeFixAvailable,recommendedAction,classification,rationale
b1_vocab_rueckmeldung_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Vielen Dank für Ihre ___.,Vielen Dank für Ihre ___.,Rückmeldung,Rückmeldung,die Rückmeldung = feedback/response.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer,QUARANTINE_OR_DEFER,"Potentially weak cue, but a safe one-line source repair was not selected in this capped batch."
b1_vocab_rueckmeldung_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich warte noch auf Ihre ___.,Ich warte noch auf Ihre ___.,Rückmeldung,Rückmeldung,auf eine Rückmeldung warten = to wait for a response.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer,QUARANTINE_OR_DEFER,"Potentially weak cue, but a safe one-line source repair was not selected in this capped batch."
b1_vocab_beschwerden_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich habe seit drei Tagen ___.,Ich habe seit drei Tagen ___.,Beschwerden,Beschwerden,Beschwerden haben = to have symptoms/problems.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer,QUARANTINE_OR_DEFER,"Potentially weak cue, but a safe one-line source repair was not selected in this capped batch."
v080149_cat02_practice_family_cat02_pf_007,content/b1-m01-variant-families.js,cat02-pf-007,active,review_or_unknown,Luecke,typed,Ich bin für den Kurs ___.,Ich bin für den Kurs ___.,angemeldet,angemeldet,,review_only_cloze_cue_unsafe_or_missing,medium,no,EXCEPTION_REVIEW,EXCEPTION_REVIEW,Imported/review-only row needs human/source review; not safe for this narrow batch.
v080149_cat14_redemittel_cat14_r_035,content/b1-m14-connectors-sentence-functions.js,cat14-r-035,active,review_or_unknown,Auswahl,selected_choice_value,Welche Form passt? documents,addition,Zusätzlich schicke ich Ihnen eine Kopie.,Zusätzlich schicke ich Ihnen eine Kopie.,,review_only_cloze_cue_unsafe_or_missing,medium,no,EXCEPTION_REVIEW,EXCEPTION_REVIEW,Imported/review-only row needs human/source review; not safe for this narrow batch.
v080149_cat15_redemittel_cat15_r_016,content/b1-m15-time-place-movement.js,cat15-r-016,active,review_or_unknown,Auswahl,selected_choice_value,Welche Form passt? building,Give route,Gehen Sie die Treppe hoch.,Gehen Sie die Treppe hoch.,,review_only_cloze_cue_unsafe_or_missing,medium,no,EXCEPTION_REVIEW,EXCEPTION_REVIEW,Imported/review-only row needs human/source review; not safe for this narrow batch.
v080149_cat15_redemittel_cat15_r_038,content/b1-m15-time-place-movement.js,cat15-r-038,active,review_or_unknown,Auswahl,selected_choice_value,Welche Form passt? commute,Transport,Ich steige an der Haltestelle aus.,Ich steige an der Haltestelle aus.,,review_only_cloze_cue_unsafe_or_missing,medium,no,EXCEPTION_REVIEW,EXCEPTION_REVIEW,Imported/review-only row needs human/source review; not safe for this narrow batch.
v080149_cat15_redemittel_cat15_r_055,content/b1-m15-time-place-movement.js,cat15-r-055,active,review_or_unknown,Auswahl,selected_choice_value,Welche Form passt? navigation,Clarify route,Muss ich über die Straße gehen?,Muss ich über die Straße gehen?,,review_only_cloze_cue_unsafe_or_missing,medium,no,EXCEPTION_REVIEW,EXCEPTION_REVIEW,Imported/review-only row needs human/source review; not safe for this narrow batch.
v080149_cat15_redemittel_cat15_r_057,content/b1-m15-time-place-movement.js,cat15-r-057,active,review_or_unknown,Auswahl,selected_choice_value,Welche Form passt? navigation,Describe detour,Wegen der Baustelle gibt es eine Umleitung.,Wegen der Baustelle gibt es eine Umleitung.,,review_only_cloze_cue_unsafe_or_missing,medium,no,EXCEPTION_REVIEW,EXCEPTION_REVIEW,Imported/review-only row needs human/source review; not safe for this narrow batch.
b1_vocab_vorstellungsgespraech_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich möchte den Termin für das Vorstellungsgespräch ___.,Ich möchte den Termin für das Vorstellungsgespräch ___.,bestätigen,bestätigen,einen Termin bestätigen = to confirm an appointment.,active_runtime_typed_cloze_review,medium,no,reviewed for false positive or defer,QUARANTINE_OR_DEFER,"Potentially weak cue, but a safe one-line source repair was not selected in this capped batch."
