itemId,sourceFile,sourceRowId,currentStatus,routeExposure,taskType,answerMode,prompt,stimulus,answerKey,acceptedAnswers,explainText,issueType,severity,safeFixAvailable,recommendedAction
b1_vocab_termin_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich möchte einen ___ vereinbaren.,Ich möchte einen ___ vereinbaren.,Termin,Termin,der Termin = appointment; common phrase: einen Termin vereinbaren.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_termin_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Leider muss ich den Termin ___.,Leider muss ich den Termin ___.,absagen,absagen,einen Termin absagen = to cancel an appointment.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_bestaetigung_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Könnten Sie mir bitte eine ___ per E-Mail schicken?,Könnten Sie mir bitte eine ___ per E-Mail schicken?,Bestätigung,Bestätigung,die Bestätigung = confirmation.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_bestaetigung_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich möchte den Termin schriftlich ___.,Ich möchte den Termin schriftlich ___.,bestätigen,bestätigen,bestätigen = to confirm.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_unterlagen_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Bitte schicken Sie mir die ___ bis Freitag.,Bitte schicken Sie mir die ___ bis Freitag.,Unterlagen,Unterlagen,die Unterlagen = documents/papers; usually plural.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_unterlagen_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich habe die Unterlagen als PDF ___.,Ich habe die Unterlagen als PDF ___.,geschickt,geschickt|gesendet,Unterlagen schicken/senden = to send documents.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_formular_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Bitte füllen Sie das ___ vollständig aus.,Bitte füllen Sie das ___ vollständig aus.,Formular,Formular,das Formular = form.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_formular_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Das Formular muss ich noch ___.,Das Formular muss ich noch ___.,ausfüllen,ausfüllen,ein Formular ausfüllen = to fill in a form.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_beschwerde_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Der Kunde ist unzufrieden und schreibt eine ___.,Der Kunde ist unzufrieden und schreibt eine ___.,Beschwerde,Beschwerde,die Beschwerde = complaint.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_beschwerde_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich möchte eine Beschwerde ___.,Ich möchte eine Beschwerde ___.,einreichen,einreichen,eine Beschwerde einreichen = to file/submit a complaint.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_lieferung_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Die ___ kommt leider erst morgen an.,Die ___ kommt leider erst morgen an.,Lieferung,Lieferung,die Lieferung = delivery.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_lieferung_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Die Lieferung wurde gestern ___.,Die Lieferung wurde gestern ___.,verschickt,verschickt|versendet,verschicken/versenden = to send/ship.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_bestellung_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich möchte meine ___ ändern.,Ich möchte meine ___ ändern.,Bestellung,Bestellung,die Bestellung = order.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
