currentSourceFile,currentItemId,currentSourceRowId,v02RowId,proposedBucket,proposedAction,applyStatus,appliedFields,applyReason,replacementFieldList,currentPrompt,v02Prompt,currentStimulus,v02Stimulus,currentAnswer,v02Answer,currentExplain,v02Explain,quarantineReason,productionReason,legacySeedReason,riskFlag,notes
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_063,cat02-w-063,cat02-w-063,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,untouched_exception_review,,manifest exception review,,Welches Wort passt? start/begin,,Action verbs,,anfangen,,separable verb placement,,,,,imported_source_without_replacement_layer_match,
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_064,cat02-w-064,cat02-w-064,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,untouched_exception_review,,manifest exception review,,Welches Wort passt? begin/start,,Action verbs,,beginnen,,register/context differences,,,,,imported_source_without_replacement_layer_match,
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_065,cat02-w-065,cat02-w-065,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,untouched_exception_review,,manifest exception review,,Welches Wort passt? participate,,Action verbs,,teilnehmen,,wrong preposition: an + dative,,,,,imported_source_without_replacement_layer_match,
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_066,cat02-w-066,cat02-w-066,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,untouched_exception_review,,manifest exception review,,Welches Wort passt? join in/take part,,Action verbs,,mitmachen,,separable verb errors,,,,,imported_source_without_replacement_layer_match,
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_067,cat02-w-067,cat02-w-067,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,untouched_exception_review,,manifest exception review,,Welches Wort passt? register/sign in,,Action verbs,,sich anmelden,,reflexive omission; CAT12/CAT10 overlap,,,,,imported_source_without_replacement_layer_match,
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_068,cat02-w-068,cat02-w-068,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,untouched_exception_review,,manifest exception review,,Welches Wort passt? introduce oneself,,Action verbs,,sich vorstellen,,reflexive omission,,,,,imported_source_without_replacement_layer_match,
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_069,cat02-w-069,cat02-w-069,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,untouched_exception_review,,manifest exception review,,Welches Wort passt? introduce someone,,Action verbs,,vorstellen,,reflexive/non-reflexive confusion,,,,,imported_source_without_replacement_layer_match,
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_070,cat02-w-070,cat02-w-070,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,untouched_exception_review,,manifest exception review,,Welches Wort passt? explain,,Action verbs,,erklären,,explain vs show/repeat,,,,,imported_source_without_replacement_layer_match,
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_071,cat02-w-071,cat02-w-071,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,untouched_exception_review,,manifest exception review,,Welches Wort passt? repeat,,Action verbs,,wiederholen,,wrong target in clarification requests,,,,,imported_source_without_replacement_layer_match,
content/b1-m01-variant-families.js,v080149_cat02_wortschatz_cat02_w_072,cat02-w-072,cat02-w-072,EXCEPTION_REVIEW,manual review: imported row has sourceRowId but no comparison/recovery match,untouched_exception_review,,manifest exception review,,Welches Wort passt? spell out,,Action verbs,,buchstabieren,,spelling vs writing confusion,,,,,imported_source_without_replacement_layer_match,
