currentSourceFile,currentItemId,currentSourceRowId,v02RowId,proposedBucket,proposedAction,applyStatus,appliedFields,applyReason,replacementFieldList,currentPrompt,v02Prompt,currentStimulus,v02Stimulus,currentAnswer,v02Answer,currentExplain,v02Explain,quarantineReason,productionReason,legacySeedReason,riskFlag,notes
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_001,cat02-coll-001,cat02-coll-001,CORE_SAFE_UNCHANGED,keep current row unchanged,kept_active,,,,Welche Kollokation passt? take part in the course,Welche Kollokation passt? take part in the course,Choose the best German option.,Choose the best German option.,am Kurs teilnehmen,am Kurs teilnehmen,`teilnehmen` uses `an + dative`: am Kurs teilnehmen.,`teilnehmen` uses `an + dative`: am Kurs teilnehmen.,,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_002,cat02-coll-002,cat02-coll-002,CORE_SAFE_UNCHANGED,keep current row unchanged,kept_active,,,,Welche Kollokation passt? join in with the exercise,Welche Kollokation passt? join in with the exercise,Choose the best German option.,Choose the best German option.,bei der Übung mitmachen,bei der Übung mitmachen,`mitmachen` is separable: ich mache ... mit.,`mitmachen` is separable: ich mache ... mit.,,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_003,cat02-coll-003,cat02-coll-003,CORE_SAFE_UNCHANGED,keep current row unchanged,kept_active,,,,Welche Kollokation passt? improve German skills,Welche Kollokation passt? improve German skills,Choose the best German option.,Choose the best German option.,Deutschkenntnisse verbessern,Deutschkenntnisse verbessern,Collocation: use `Deutschkenntnisse verbessern` for improving language skills.,Collocation: use `Deutschkenntnisse verbessern` for improving language skills.,,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_004,cat02-coll-004,cat02-coll-004,CORE_SAFE_UNCHANGED,keep current row unchanged,kept_active,,,,Welche Kollokation passt? learn German at B1 level,Welche Kollokation passt? learn German at B1 level,Choose the best German option.,Choose the best German option.,auf B1-Niveau Deutsch lernen,auf B1-Niveau Deutsch lernen,Use `auf ... Niveau` for language level.,Use `auf ... Niveau` for language level.,,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_006,cat02-coll-006,cat02-coll-006,CORE_SAFE_UNCHANGED,keep current row unchanged,kept_active,,,,Welche Kollokation passt? be finished with the task,Welche Kollokation passt? be finished with the task,Choose the best German option.,Choose the best German option.,mit der Aufgabe fertig sein,mit der Aufgabe fertig sein,`mit` takes dative: mit der Aufgabe.,`mit` takes dative: mit der Aufgabe.,,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_007,cat02-coll-007,cat02-coll-007,CORE_SAFE_UNCHANGED,keep current row unchanged,kept_active,,,,Welche Kollokation passt? do an exercise,Welche Kollokation passt? do an exercise,Choose the best German option.,Choose the best German option.,eine Übung machen,eine Übung machen,Use `eine Übung machen` for doing an exercise.,Use `eine Übung machen` for doing an exercise.,,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_009,cat02-coll-009,cat02-coll-009,CORE_SAFE_UNCHANGED,keep current row unchanged,kept_active,,,,Welche Kollokation passt? bring documents/materials,Welche Kollokation passt? bring documents/materials,Choose the best German option.,Choose the best German option.,Unterlagen mitbringen,Unterlagen mitbringen,`mitbringen` means bring along.,`mitbringen` means bring along.,,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_010,cat02-coll-010,cat02-coll-010,CORE_SAFE_UNCHANGED,keep current row unchanged,kept_active,,,,Welche Kollokation passt? fill in a form,Welche Kollokation passt? fill in a form,Choose the best German option.,Choose the best German option.,ein Formular ausfüllen,ein Formular ausfüllen,Separable verb: ich fülle das Formular aus.,Separable verb: ich fülle das Formular aus.,,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_011,cat02-coll-011,cat02-coll-011,CORE_SAFE_UNCHANGED,keep current row unchanged,kept_active,,,,Welche Kollokation passt? hand in a worksheet,Welche Kollokation passt? hand in a worksheet,Choose the best German option.,Choose the best German option.,ein Arbeitsblatt abgeben,ein Arbeitsblatt abgeben,Separable verb: ich gebe das Arbeitsblatt ab.,Separable verb: ich gebe das Arbeitsblatt ab.,,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_013,cat02-coll-013,cat02-coll-013,CORE_SAFE_UNCHANGED,keep current row unchanged,kept_active,,,,Welche Kollokation passt? take notes,Welche Kollokation passt? take notes,Choose the best German option.,Choose the best German option.,sich Notizen machen,sich Notizen machen,Reflexive phrase: `Ich mache mir Notizen.`,Reflexive phrase: `Ich mache mir Notizen.`,,,,duplicate_v02_lineage_resolved,
