itemId,sourceFile,classification,deferredFields,reason
b1_grammar_connector_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_grammar_connector_002,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_grammar_connector_003,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_grammar_connector_004,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_grammar_final_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_grammar_temporal_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_grammar_preposition_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_grammar_k2_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_vocab_bewerbung_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_vocab_beruf_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_vocab_faehigkeit_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_vocab_termin_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_vocab_bestellung_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_vocab_beschwerde_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_vocab_krankmeldung_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_vocab_versicherung_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_redemittel_mail_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_redemittel_rueckruf_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_redemittel_termin_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_redemittel_bewerbung_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_redemittel_bitte_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_redemittel_problem_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_redemittel_schluss_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_redemittel_antwort_0000001,index.html,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_redemittel_001,content/b1-redemittel.js,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_redemittel_002,content/b1-redemittel.js,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
b1_redemittel_003,content/b1-redemittel.js,FIELD_DEFER_MISSING_TARGET_METADATA,targetFamily|reviewGroup|targetId,"Manifest entry created, but semantic target/review fields were left missing rather than inferred."
