issueType,bankKey,itemId,status,routeKey,surface,field,value,reason
feedback_mismatch_risk,connectors,b1_connector_116,active,connectors,production,answer/feedback,"self_check | Ich kann heute nicht zur Arbeit kommen, weil ich krank bin. | Production card: use the target connector actively in a short B1-relevant response.",Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,connectors,b1_connector_116,active,connectors,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,connectors,b1_connector_117,active,connectors,production,answer/feedback,"self_check | Obwohl ich noch wenig Erfahrung habe, bewerbe ich mich für die Stelle. | Production card: use the target connector actively in a short B1-relevant response.",Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,connectors,b1_connector_117,active,connectors,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,connectors,b1_connector_118,active,connectors,production,answer/feedback,"self_check | Ich rufe an, um einen Termin zu vereinbaren. | Production card: use the target connector actively in a short B1-relevant response.",Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,connectors,b1_connector_118,active,connectors,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,connectors,b1_connector_119,active,connectors,production,answer/feedback,"self_check | Bevor ich nach Hause gehe, räume ich meinen Arbeitsplatz auf. | Production card: use the target connector actively in a short B1-relevant response.",Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,connectors,b1_connector_119,active,connectors,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,connectors,b1_connector_120,active,connectors,production,answer/feedback,"self_check | Nachdem wir die Ware geprüft haben, schicken wir die Rechnung. | Production card: use the target connector actively in a short B1-relevant response.",Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,connectors,b1_connector_120,active,connectors,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,redemittel,b1_redemittel_073,active,redemittel,correction,answer/feedback,Ich kann erst morgen wiederkommen. | Ich kann erst morgen wieder kommen. | „Erst morgen wieder“ states the earliest possible return clearly.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,redemittel,b1_redemittel_084,active,redemittel,production,answer/feedback,"self_check | Der Termin am Freitag passt mir leider nicht. Könnten wir den Termin verschieben? Hätten Sie vielleicht einen anderen Termin? | Use the phrases actively, then mark the card practised.",Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,redemittel,b1_redemittel_084,active,redemittel,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,redemittel,b1_redemittel_085,active,redemittel,production,answer/feedback,"self_check | Vielen Dank für Ihre Nachricht. Ich freue mich auf Ihre Antwort. Mit freundlichen Grüßen | Use the phrases actively, then mark the card practised.",Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,redemittel,b1_redemittel_085,active,redemittel,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,redemittel,b1_redemittel_086,active,redemittel,production,answer/feedback,"self_check | Guten Morgen, ich muss mich leider krank melden. Ich bin krank und kann heute nicht kommen. Ich kann erst morgen wieder kommen. | Use the phrases actively, then mark the card practised.",Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,redemittel,b1_redemittel_086,active,redemittel,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,redemittel,b1_redemittel_087,active,redemittel,production,answer/feedback,"self_check | Leider gibt es ein Problem mit der Lieferung. Die Lieferung ist noch nicht angekommen. Ich bitte Sie um eine schnelle Lösung. | Use the phrases actively, then mark the card practised.",Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,redemittel,b1_redemittel_087,active,redemittel,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,redemittel,b1_redemittel_088,active,redemittel,production,answer/feedback,"self_check | Hiermit bewerbe ich mich um die Stelle. Ich interessiere mich für die Ausbildung und würde gern bei Ihnen arbeiten. | Use the phrases actively, then mark the card practised.",Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,redemittel,b1_redemittel_088,active,redemittel,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,redemittel,b1_redemittel_089,active,redemittel,production,answer/feedback,"self_check | Könnten Sie mir bitte helfen? Ich brauche Hilfe bei dem Formular. Ich hätte gern mehr Informationen. | Use the phrases actively, then mark the card practised.",Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,redemittel,b1_redemittel_089,active,redemittel,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,redemittel,b1_redemittel_090,active,redemittel,production,answer/feedback,"self_check | Ich möchte mich erkundigen, ob der Kurs noch frei ist. Könnten Sie mir bitte weitere Informationen schicken? | Use the phrases actively, then mark the card practised.",Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,redemittel,b1_redemittel_090,active,redemittel,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,wortschatz,b1_vocab_termin_004,active,wortschatz,correction,answer/feedback,Ich vereinbare einen Termin beim Arzt.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_bestaetigung_004,active,wortschatz,correction,answer/feedback,Ich brauche eine Bestätigung.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_unterlagen_004,active,wortschatz,correction,answer/feedback,Ich schicke Ihnen die Unterlagen für die Bewerbung.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_formular_004,active,wortschatz,correction,answer/feedback,Ich habe das Formular ausgefüllt.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_beschwerde_004,active,wortschatz,correction,answer/feedback,Ich habe eine Beschwerde geschrieben.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_lieferung_004,active,wortschatz,correction,answer/feedback,Die Lieferung ist verspätet.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_bestellung_004,active,wortschatz,correction,answer/feedback,Ich möchte die Bestellung ändern.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_rechnung_004,active,wortschatz,correction,answer/feedback,Ich habe die Rechnung bezahlt.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_geraet_004,active,wortschatz,correction,answer/feedback,Das Gerät ist kaputt.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_rueckmeldung_004,active,wortschatz,correction,answer/feedback,Vielen Dank für Ihre Rückmeldung.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_krankheit_004,active,wortschatz,correction,answer/feedback,Ich bin krank und kann nicht kommen.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_krankmeldung_004,active,wortschatz,correction,answer/feedback,Ich muss mich krankmelden.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_arzttermin_004,active,wortschatz,correction,answer/feedback,Ich habe morgen einen Arzttermin.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_krankenkasse_004,active,wortschatz,correction,answer/feedback,Ich rufe die Krankenkasse an.,Static check found missing or potentially mismatched answer/feedback fields.
