queueId,itemId,sourceRowId,sourceFile,originQueueFile,originVersion,issueType,issueCodes,currentManifestStatus,currentRouteKey,currentModuleKey,currentContentBankKey,currentTaskType,currentAnswerMode,currentResponseSurface,normalPracticeEligible,normalAutoGradedPracticeEligible,activeB1Evidence,reviewOnly,v02ApplyGateStatus,sourceCleanupBatch,feedbackCleanupBatch,metadataProvenance,metadataConfidence,currentResolutionBucket,currentResolutionReason,recommendedNextAction,riskLevel
rq-00001,v080149_cat02_collocation_cat02_coll_008,cat02-coll-008,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,choice_internal_label_artifact,Excluded from normal practice by existing safeguards.,found,b1_m01,b1-01,b1_m01,multiple_choice,selected_choice_value,,,,true,,replaced_v0_85_6a_2,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
rq-00002,v080149_cat02_collocation_cat02_coll_009,cat02-coll-009,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,choice_internal_label_artifact,internal_label_sanitised,found,b1_m01,b1-01,b1_m01,multiple_choice,selected_choice_value,,,,true,,,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
rq-00003,v080149_cat02_collocation_cat02_coll_011,cat02-coll-011,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,choice_internal_label_artifact,Excluded from normal practice by existing safeguards.,found,b1_m01,b1-01,b1_m01,multiple_choice,selected_choice_value,,,,true,,,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
rq-00004,v080149_cat02_collocation_cat02_coll_016,cat02-coll-016,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,choice_internal_label_artifact,internal_label_sanitised,found,b1_m01,b1-01,b1_m01,multiple_choice,selected_choice_value,,,,true,,,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
rq-00005,v080149_cat02_collocation_cat02_coll_022,cat02-coll-022,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,choice_internal_label_artifact,Excluded from normal practice by existing safeguards.,found,b1_m01,b1-01,b1_m01,multiple_choice,selected_choice_value,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
rq-00006,v080149_cat02_collocation_cat02_coll_023,cat02-coll-023,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,choice_internal_label_artifact,Excluded from normal practice by existing safeguards.,found,b1_m01,b1-01,b1_m01,multiple_choice,selected_choice_value,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
rq-00007,v080149_cat02_contrast_cat02_cs_009,cat02-cs-009,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,choice_internal_label_artifact,internal_label_sanitised;prompt_internal_label_sanitised,found,b1_m01,b1-01,b1_m01,multiple_choice,selected_choice_value,,,,true,,replaced_v0_85_6a_2,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
rq-00008,v080149_cat02_contrast_cat02_cs_011,cat02-cs-011,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,choice_internal_label_artifact,internal_label_sanitised;prompt_internal_label_sanitised,found,b1_m01,b1-01,b1_m01,multiple_choice,selected_choice_value,,,,true,,replaced_v0_85_6a_2,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
rq-00009,v080149_cat02_contrast_cat02_cs_013,cat02-cs-013,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,choice_internal_label_artifact,internal_label_sanitised;prompt_internal_label_sanitised,found,b1_m01,b1-01,b1_m01,multiple_choice,selected_choice_value,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
rq-00010,v080149_cat02_practice_family_cat02_pf_001,cat02-pf-001,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,redemittel_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
rq-00013,v080149_cat02_practice_family_cat02_pf_004,cat02-pf-004,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,redemittel_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
rq-00014,v080149_cat02_practice_family_cat02_pf_007,cat02-pf-007,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,redemittel_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
rq-00018,v080149_cat02_practice_family_cat02_pf_011,cat02-pf-011,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
rq-00020,v080149_cat02_practice_family_cat02_pf_014,cat02-pf-014,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
rq-00021,v080149_cat02_practice_family_cat02_pf_015,cat02-pf-015,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
rq-00026,v080149_cat02_practice_family_cat02_pf_021,cat02-pf-021,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
rq-00029,v080149_cat02_practice_family_cat02_pf_024,cat02-pf-024,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
rq-00030,v080149_cat02_practice_family_cat02_pf_026,cat02-pf-026,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
rq-00031,v080149_cat02_practice_family_cat02_pf_027,cat02-pf-027,content/b1-m01-variant-families.js,docs/qa/v0.85.1_prompt_cue_review_queue.csv,v0.85.1,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,found,b1_m01,b1-01,b1_m01,vocab_cloze,typed,,false,,false,true,quarantined_v0_85_6a_2,,,explicit,high,RESOLVED_BY_V0856_SOURCE_CLEANUP,Runtime display gates report zero active display-contract defects for this source-display issue class.,No action now.,low
