currentSourceFile,currentItemId,currentSourceRowId,v02RowId,matchStatus,oldManifestBucket,oldManifestAction,v02Decision,comparisonDecision,recoveryDecision,proposedBucket,proposedAction,currentTaskType,currentResponseSurface,targetFamily,hasV02ReplacementFields,replacementFieldList,currentPrompt,v02Prompt,currentStimulus,v02Stimulus,currentOptions,v02Options,currentAnswer,v02Answer,currentExplain,v02Explain,quarantineReason,productionReason,legacySeedReason,duplicateLineageStatus,riskFlag,notes
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_008,cat02-coll-008,cat02-coll-008,matched_replacement_layer,Core Safe,keep current row unchanged,revise_light,revise_light,direct_recover_from_v02,CORE_SAFE_V02_REPLACEMENT,future apply patch may replace schema-compatible learner-facing fields from v0.2/recovery while preserving current item ID,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_008,true,prompt; stimulus/learnerCue; microRule/explainText,Welche Kollokation passt? ask someone to repeat/explain/spell,Welche Kollokation passt? ask someone to repeat/explain/spell,Choose the best German option.,Choose the best German option.,"etwas bitte wiederholen / erklären / buchstabieren | fragen | zeigen | wrong function verb, e.g. `buchstabieren` when the learner needs repetition",,etwas bitte wiederholen / erklären / buchstabieren,etwas bitte wiederholen / erklären / buchstabieren,"Choose the help verb by function: `wiederholen` = say again, `erklären` = explain, `buchstabieren` = spell letters.","Choose the help verb by function: `wiederholen` = say again, `erklären` = explain, `buchstabieren` = spell letters.",,,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_contrast_cat02_cs_001,cat02-cs-001,cat02-cs-001,matched_replacement_layer,Core Safe,keep current row unchanged,revise_light,revise_light,direct_recover_from_v02,CORE_SAFE_V02_REPLACEMENT,future apply patch may replace schema-compatible learner-facing fields from v0.2/recovery while preserving current item ID,Auswahl,selected_choice_value,CAT02-contrast-cat02_cs_001,true,prompt; stimulus/learnerCue; microRule/explainText,Welche Form passt zu `Kurs vs Unterricht`?,Welche Form passt zu `Kurs vs Unterricht`?,Kurs vs Unterricht,Kurs vs Unterricht,Kurs | Unterricht | Aufgabe | Termin,Kurs | Unterricht | Aufgabe | Termin,Kurs,Kurs,"`Kurs` is the whole course. Check the nearby contrast, not just a related word.","`Kurs` is the whole course. Check the nearby contrast, not just a related word.",,,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_contrast_cat02_cs_002,cat02-cs-002,cat02-cs-002,matched_replacement_layer,Core Safe,keep current row unchanged,revise_light,revise_light,direct_recover_from_v02,CORE_SAFE_V02_REPLACEMENT,future apply patch may replace schema-compatible learner-facing fields from v0.2/recovery while preserving current item ID,Auswahl,selected_choice_value,CAT02-contrast-cat02_cs_002,true,prompt; stimulus/learnerCue; microRule/explainText,Welche Form passt zu `course people`?,Welche Form passt zu `course people`?,course people,course people,Kursleiterin | Teilnehmerin | Kollegin | Ansprechpartnerin,Kursleiterin | Teilnehmerin | Kollegin | Ansprechpartnerin,Kursleiterin,Kursleiterin,"The course leader leads the course. Check the nearby contrast, not just a related word.","The course leader leads the course. Check the nearby contrast, not just a related word.",,,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_contrast_cat02_cs_003,cat02-cs-003,cat02-cs-003,matched_replacement_layer,Core Safe,keep current row unchanged,revise_light,revise_light,direct_recover_from_v02,CORE_SAFE_V02_REPLACEMENT,future apply patch may replace schema-compatible learner-facing fields from v0.2/recovery while preserving current item ID,Auswahl,selected_choice_value,CAT02-contrast-cat02_cs_003,true,prompt; stimulus/learnerCue; microRule/explainText,Welche Form passt zu `workplace people`?,Welche Form passt zu `workplace people`?,workplace people,workplace people,Kollege | Chef | Kunde | Teilnehmer,Kollege | Chef | Kunde | Teilnehmer,Kollege,Kollege,"A colleague is a workplace peer. Check the nearby contrast, not just a related word.","A colleague is a workplace peer. Check the nearby contrast, not just a related word.",,,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_contrast_cat02_cs_004,cat02-cs-004,cat02-cs-004,matched_replacement_layer,Core Safe,keep current row unchanged,revise_light,revise_light,direct_recover_from_v02,CORE_SAFE_V02_REPLACEMENT,future apply patch may replace schema-compatible learner-facing fields from v0.2/recovery while preserving current item ID,Auswahl,selected_choice_value,CAT02-contrast-cat02_cs_004,true,prompt; stimulus/learnerCue; microRule/explainText,Welche Form passt zu `reception vs entrance`?,Welche Form passt zu `reception vs entrance`?,reception vs entrance,reception vs entrance,Empfang | Eingang | Anmeldung | Sekretariat,Empfang | Eingang | Anmeldung | Sekretariat,Empfang,Empfang,"`Empfang` is the reception desk. Check the nearby contrast, not just a related word.","`Empfang` is the reception desk. Check the nearby contrast, not just a related word.",,,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_contrast_cat02_cs_005,cat02-cs-005,cat02-cs-005,matched_replacement_layer,Core Safe,keep current row unchanged,revise_light,revise_light,direct_recover_from_v02,CORE_SAFE_V02_REPLACEMENT,future apply patch may replace schema-compatible learner-facing fields from v0.2/recovery while preserving current item ID,Auswahl,selected_choice_value,CAT02-contrast-cat02_cs_005,true,prompt; stimulus/learnerCue; microRule/explainText,Welche Form passt zu `entrance and exit`?,Welche Form passt zu `entrance and exit`?,entrance and exit,entrance and exit,Eingang | Ausgang | Aufzug | Flur,Eingang | Ausgang | Aufzug | Flur,Eingang,Eingang,"`Eingang` is entrance. Check the nearby contrast, not just a related word.","`Eingang` is entrance. Check the nearby contrast, not just a related word.",,,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_contrast_cat02_cs_006,cat02-cs-006,cat02-cs-006,matched_replacement_layer,Core Safe,keep current row unchanged,revise_light,revise_light,direct_recover_from_v02,CORE_SAFE_V02_REPLACEMENT,future apply patch may replace schema-compatible learner-facing fields from v0.2/recovery while preserving current item ID,Auswahl,selected_choice_value,CAT02-contrast-cat02_cs_006,true,prompt; stimulus/learnerCue; microRule/explainText,Welche Form passt zu `room words`?,Welche Form passt zu `room words`?,room words,room words,Kursraum | Pausenraum | Besprechungsraum | Büro,Kursraum | Pausenraum | Besprechungsraum | Büro,Kursraum,Kursraum,"The course room is for the course. Check the nearby contrast, not just a related word.","The course room is for the course. Check the nearby contrast, not just a related word.",,,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_contrast_cat02_cs_007,cat02-cs-007,cat02-cs-007,matched_replacement_layer,Core Safe,keep current row unchanged,revise_light,revise_light,direct_recover_from_v02,CORE_SAFE_V02_REPLACEMENT,future apply patch may replace schema-compatible learner-facing fields from v0.2/recovery while preserving current item ID,Auswahl,selected_choice_value,CAT02-contrast-cat02_cs_007,true,prompt; stimulus/learnerCue; microRule/explainText,Welche Form passt zu `ask vs ask again`?,Welche Form passt zu `ask vs ask again`?,ask vs ask again,ask vs ask again,nachfragen | fragen | erklären | wiederholen,nachfragen | fragen | erklären | wiederholen,nachfragen,nachfragen,"`nachfragen` means ask/check again. Check the nearby contrast, not just a related word.","`nachfragen` means ask/check again. Check the nearby contrast, not just a related word.",,,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_contrast_cat02_cs_008,cat02-cs-008,cat02-cs-008,matched_replacement_layer,Core Safe,keep current row unchanged,revise_light,revise_light,direct_recover_from_v02,CORE_SAFE_V02_REPLACEMENT,future apply patch may replace schema-compatible learner-facing fields from v0.2/recovery while preserving current item ID,Auswahl,selected_choice_value,CAT02-contrast-cat02_cs_008,true,prompt; stimulus/learnerCue; microRule/explainText,Welche Form passt zu `repeat/explain/spell`?,Welche Form passt zu `repeat/explain/spell`?,repeat/explain/spell,repeat/explain/spell,wiederholen | erklären | buchstabieren | zeigen,wiederholen | erklären | buchstabieren | zeigen,wiederholen,wiederholen,"Repeat means say it again. Check the nearby contrast, not just a related word.","Repeat means say it again. Check the nearby contrast, not just a related word.",,,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_contrast_cat02_cs_009,cat02-cs-009,cat02-cs-009,matched_replacement_layer,Core Safe,keep current row unchanged,revise_light,revise_light,direct_recover_from_v02,CORE_SAFE_V02_REPLACEMENT,future apply patch may replace schema-compatible learner-facing fields from v0.2/recovery while preserving current item ID,Auswahl,selected_choice_value,CAT02-contrast-cat02_cs_009,true,prompt; stimulus/learnerCue; microRule/explainText,Welche Form passt zu `bring vs hand in`?,Welche Form passt zu `bring vs hand in`?,bring vs hand in,bring vs hand in,mitbringen | abgeben | ausfüllen | ankreuzen,mitbringen | abgeben | ausfüllen | ankreuzen,mitbringen,mitbringen,"Bring along to the place. Check the nearby contrast, not just a related word.","Bring along to the place. Check the nearby contrast, not just a related word.",,,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
