currentSourceFile,currentItemId,currentSourceRowId,v02RowId,proposedBucket,proposedAction,applyStatus,appliedFields,applyReason,replacementFieldList,currentPrompt,v02Prompt,currentStimulus,v02Stimulus,currentAnswer,v02Answer,currentExplain,v02Explain,quarantineReason,productionReason,legacySeedReason,riskFlag,notes
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_005,cat02-coll-005,cat02-coll-005,QUARANTINE,exclude from normal learner practice in future apply patch unless human review clears it,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,"v0.2/comparison decision requires review, downgrade, defer or cut",,Welche Kollokation passt? register for the course,Welche Kollokation passt? register for the course,Choose the best German option.,Choose the best German option.,sich für den Kurs anmelden,sich für den Kurs anmelden,Reflexive: `sich für den Kurs anmelden`.,Reflexive: `sich für den Kurs anmelden`.,"v0.2/comparison decision requires review, downgrade, defer or cut",,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_012,cat02-coll-012,cat02-coll-012,QUARANTINE,exclude from normal learner practice in future apply patch unless human review clears it,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,"v0.2/comparison decision requires review, downgrade, defer or cut",,Welche Kollokation passt? tick/check something,Welche Kollokation passt? tick/check something,Choose the best German option.,Choose the best German option.,etwas ankreuzen,etwas ankreuzen,Separable verb: ich kreuze ... an.,Separable verb: ich kreuze ... an.,"v0.2/comparison decision requires review, downgrade, defer or cut",,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_014,cat02-coll-014,cat02-coll-014,QUARANTINE,exclude from normal learner practice in future apply patch unless human review clears it,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,"v0.2/comparison decision requires review, downgrade, defer or cut",,Welche Kollokation passt? have experience with the program,Welche Kollokation passt? have experience with the program,Choose the best German option.,Choose the best German option.,Erfahrung mit dem Programm haben,Erfahrung mit dem Programm haben,Use `Erfahrung mit + dative` for experience with a tool/topic.,Use `Erfahrung mit + dative` for experience with a tool/topic.,"v0.2/comparison decision requires review, downgrade, defer or cut",,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_022,cat02-coll-022,cat02-coll-022,QUARANTINE,exclude from normal learner practice in future apply patch unless human review clears it,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,"v0.2/comparison decision requires review, downgrade, defer or cut",,Welche Kollokation passt? show ID,Welche Kollokation passt? show ID,Choose the best German option.,Choose the best German option.,den Ausweis zeigen,den Ausweis zeigen,`zeigen` takes an accusative object: den Ausweis.,`zeigen` takes an accusative object: den Ausweis.,"v0.2/comparison decision requires review, downgrade, defer or cut",,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_023,cat02-coll-023,cat02-coll-023,QUARANTINE,exclude from normal learner practice in future apply patch unless human review clears it,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,"v0.2/comparison decision requires review, downgrade, defer or cut",,Welche Kollokation passt? log in/register in the app,Welche Kollokation passt? log in/register in the app,Choose the best German option.,Choose the best German option.,sich in der App anmelden,sich in der App anmelden,Separate course registration from app login.,Separate course registration from app login.,"v0.2/comparison decision requires review, downgrade, defer or cut",,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_contrast_cat02_cs_013,cat02-cs-013,cat02-cs-013,QUARANTINE,exclude or repair via v0.2 replacement after review,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,comparison file records visible learner-facing issue,prompt,Welche Form passt zur Bedeutung?,Welche Form passt zu `show vs find`?,Show something to someone.,Show something to someone.,zeigen,zeigen,"Show something to someone. Check the nearby contrast, not just a related word.","Show something to someone. Check the nearby contrast, not just a related word.",comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_contrast_cat02_cs_019,cat02-cs-019,cat02-cs-019,QUARANTINE,exclude from normal learner practice in future apply patch unless human review clears it,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,"v0.2/comparison decision requires review, downgrade, defer or cut",,Welche Form passt zu `Einarbeitung vs Ausbildung`?,Welche Form passt zu `Einarbeitung vs Ausbildung`?,Einarbeitung vs Ausbildung,Einarbeitung vs Ausbildung,Einarbeitung,Einarbeitung,"Onboarding/training into tasks. Check the nearby contrast, not just a related word.","Onboarding/training into tasks. Check the nearby contrast, not just a related word.","v0.2/comparison decision requires review, downgrade, defer or cut",,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_001,cat02-pf-001,cat02-pf-001,QUARANTINE,exclude or repair via v0.2 replacement after review,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,comparison file records visible learner-facing issue,prompt,Ich bin neu im ___.,Ergänze den Satz.,Ich bin neu im ___.,Ich bin neu im ___.,Kurs,Kurs,Fixed phrase: `neu im Kurs`.,Fixed phrase: `neu im Kurs`.,comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_002,cat02-pf-002,cat02-pf-002,QUARANTINE,exclude or repair via v0.2 replacement after review,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,comparison file records visible learner-facing issue,prompt,Ich bin neu in der ___.,Ergänze den Satz.,Ich bin neu in der ___.,Ich bin neu in der ___.,Firma,Firma,Use `in der Firma`; `Firma` is feminine.,Use `in der Firma`; `Firma` is feminine.,comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_003,cat02-pf-003,cat02-pf-003,QUARANTINE,exclude or repair via v0.2 replacement after review,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,comparison file records visible learner-facing issue,prompt,Ich bin heute zum ersten Mal ___.,Ergänze den Satz.,Ich bin heute zum ersten Mal ___.,Ich bin heute zum ersten Mal ___.,hier,hier,Fixed phrase: `zum ersten Mal hier`.,Fixed phrase: `zum ersten Mal hier`.,comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_004,cat02-pf-004,cat02-pf-004,QUARANTINE,exclude or repair via v0.2 replacement after review,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,comparison file records visible learner-facing issue,prompt,Ich mache gerade einen ___.,Ergänze den Satz.,Ich mache gerade einen ___.,Ich mache gerade einen ___.,Deutschkurs,Deutschkurs,`einen Deutschkurs` is the direct object after `machen`.,`einen Deutschkurs` is the direct object after `machen`.,comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_005,cat02-pf-005,cat02-pf-005,QUARANTINE,exclude or repair via v0.2 replacement after review,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,comparison file records visible learner-facing issue,prompt,Ich lerne Deutsch auf ___.,Ergänze den Satz.,Ich lerne Deutsch auf ___.,Ich lerne Deutsch auf ___.,B1-Niveau,B1-Niveau,Use `auf B1-Niveau` for language level.,Use `auf B1-Niveau` for language level.,comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_006,cat02-pf-006,cat02-pf-006,QUARANTINE,exclude or repair via v0.2 replacement after review,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,comparison file records visible learner-facing issue,prompt,Ich möchte meine Deutschkenntnisse ___.,Ergänze die Formulierung.,Ich möchte meine Deutschkenntnisse ___.,Ich möchte meine Deutschkenntnisse ___.,verbessern,verbessern,Collocation: `Deutschkenntnisse verbessern`.,Collocation: `Deutschkenntnisse verbessern`.,comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_007,cat02-pf-007,cat02-pf-007,QUARANTINE,exclude from normal learner practice in future apply patch unless human review clears it,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,"v0.2/comparison decision requires review, downgrade, defer or cut",prompt,Ich bin für den Kurs ___.,Ergänze den Satz.,Ich bin für den Kurs ___.,Ich bin für den Kurs ___.,angemeldet,angemeldet,`angemeldet` means registered.,`angemeldet` means registered.,"v0.2/comparison decision requires review, downgrade, defer or cut",,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_008,cat02-pf-008,cat02-pf-008,QUARANTINE,exclude from normal learner practice in future apply patch unless human review clears it,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,"v0.2/comparison decision requires review, downgrade, defer or cut",prompt,Ich bin heute für die ___ hier.,Ergänze den Satz.,Ich bin heute für die ___ hier.,Ich bin heute für die ___ hier.,Einarbeitung,Einarbeitung,`Einarbeitung` means onboarding/task training.,`Einarbeitung` means onboarding/task training.,"v0.2/comparison decision requires review, downgrade, defer or cut",,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_009,cat02-pf-009,cat02-pf-009,QUARANTINE,exclude or repair via v0.2 replacement after review,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,comparison file records visible learner-facing issue,prompt,Ich stelle mich kurz ___.,Ergänze den Satz.,Ich stelle mich kurz ___.,Ich stelle mich kurz ___.,vor,vor,Separable/reflexive: `Ich stelle mich vor.`,Separable/reflexive: `Ich stelle mich vor.`,comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_010,cat02-pf-010,cat02-pf-010,QUARANTINE,exclude or repair via v0.2 replacement after review,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,comparison file records visible learner-facing issue,prompt,Das ist meine ___ aus dem Büro.,Ergänze den Satz.,Das ist meine ___ aus dem Büro.,Das ist meine ___ aus dem Büro.,Kollegin,Kollegin,`Kollegin` is a female colleague; the office cue narrows the answer.,`Kollegin` is a female colleague; the office cue narrows the answer.,comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_011,cat02-pf-011,cat02-pf-011,QUARANTINE,exclude or repair via v0.2 replacement after review,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,comparison file records visible learner-facing issue,prompt,Wo ist der ___?,Ergänze den Satz.,Wo ist der ___?,Wo ist der ___?,Kursraum,Kursraum,Core place question: `Wo ist der Kursraum?`,Core place question: `Wo ist der Kursraum?`,comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_012,cat02-pf-012,cat02-pf-012,QUARANTINE,exclude or repair via v0.2 replacement after review,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,comparison file records visible learner-facing issue,prompt,Wo finde ich das ___?,Ergänze den Satz.,Wo finde ich das ___?,Wo finde ich das ___?,Sekretariat,Sekretariat,`das Sekretariat` is a common office/place noun.,`das Sekretariat` is a common office/place noun.,comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_014,cat02-pf-014,cat02-pf-014,QUARANTINE,exclude or repair via v0.2 replacement after review,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,comparison file records visible learner-facing issue,prompt,"Können Sie mir bitte zeigen, wo der Eingang ___?",Ergänze den Satz.,"Können Sie mir bitte zeigen, wo der Eingang ___?","Können Sie mir bitte zeigen, wo der Eingang ___?",ist,ist,Embedded `wo` question: verb at the end.,Embedded `wo` question: verb at the end.,comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_015,cat02-pf-015,cat02-pf-015,QUARANTINE,exclude or repair via v0.2 replacement after review,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,comparison file records visible learner-facing issue,prompt,Ich suche den ___.,Ergänze den Satz.,Ich suche den ___.,Ich suche den ___.,Pausenraum,Pausenraum,`suchen` takes accusative: den Pausenraum.,`suchen` takes accusative: den Pausenraum.,comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_016,cat02-pf-016,cat02-pf-016,QUARANTINE,exclude or repair via v0.2 replacement after review,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,comparison file records visible learner-facing issue,prompt,Ich warte am ___.,Ergänze den Satz.,Ich warte am ___.,Ich warte am ___.,Empfang,Empfang,Fixed place phrase: `am Empfang`.,Fixed place phrase: `am Empfang`.,comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_017,cat02-pf-017,cat02-pf-017,QUARANTINE,exclude or repair via v0.2 replacement after review,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,comparison file records visible learner-facing issue,prompt,Ich gehe zum ___.,Ergänze den Satz.,Ich gehe zum ___.,Ich gehe zum ___.,Sekretariat,Sekretariat,`zum` = `zu dem`; use it for going to a place.,`zum` = `zu dem`; use it for going to a place.,comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_018,cat02-pf-018,cat02-pf-018,QUARANTINE,exclude or repair via v0.2 replacement after review,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,comparison file records visible learner-facing issue,prompt,Wer ist der richtige ___?,Ergänze den Satz.,Wer ist der richtige ___?,Wer ist der richtige ___?,Ansprechpartner,Ansprechpartner,`der Ansprechpartner` is the contact person.,`der Ansprechpartner` is the contact person.,comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_019,cat02-pf-019,cat02-pf-019,QUARANTINE,exclude from normal learner practice in future apply patch unless human review clears it,quarantined,normalPracticeEligible; activeB1Evidence; reviewOnly; v02ApplyGateStatus,"v0.2/comparison decision requires review, downgrade, defer or cut",prompt,An wen kann ich mich ___?,Ergänze den Satz.,An wen kann ich mich ___?,An wen kann ich mich ___?,wenden,wenden,Fixed phrase: `sich an jemanden wenden`.,Fixed phrase: `sich an jemanden wenden`.,"v0.2/comparison decision requires review, downgrade, defer or cut",,,duplicate_v02_lineage_resolved,
