issueType,bankKey,itemId,status,routeKey,surface,missingFields,repeatedFields,reason
metadata_manifest_candidate,core,b1_grammar_connector_0000001,active,core,cloze,contentBankKey|routeKey|moduleKey|sourceRowAuditKey|reviewStatus|rendererImportStatus,,Item has fields suitable for manifest/default migration or is missing manifest-ready fields.
metadata_manifest_candidate,core,b1_grammar_connector_002,active,core,cloze,contentBankKey|routeKey|moduleKey|sourceRowAuditKey|reviewStatus|rendererImportStatus,,Item has fields suitable for manifest/default migration or is missing manifest-ready fields.
metadata_manifest_candidate,core,b1_grammar_connector_003,active,core,cloze,contentBankKey|routeKey|moduleKey|sourceRowAuditKey|reviewStatus|rendererImportStatus,,Item has fields suitable for manifest/default migration or is missing manifest-ready fields.
metadata_manifest_candidate,core,b1_grammar_connector_004,active,core,cloze,contentBankKey|routeKey|moduleKey|sourceRowAuditKey|reviewStatus|rendererImportStatus,,Item has fields suitable for manifest/default migration or is missing manifest-ready fields.
metadata_manifest_candidate,core,b1_grammar_final_0000001,active,core,cloze,contentBankKey|routeKey|moduleKey|sourceRowAuditKey|reviewStatus|rendererImportStatus,,Item has fields suitable for manifest/default migration or is missing manifest-ready fields.
metadata_manifest_candidate,core,b1_grammar_temporal_0000001,active,core,cloze,contentBankKey|routeKey|moduleKey|sourceRowAuditKey|reviewStatus|rendererImportStatus,,Item has fields suitable for manifest/default migration or is missing manifest-ready fields.
metadata_manifest_candidate,core,b1_grammar_preposition_0000001,active,core,cloze,contentBankKey|routeKey|moduleKey|sourceRowAuditKey|reviewStatus|rendererImportStatus,,Item has fields suitable for manifest/default migration or is missing manifest-ready fields.
metadata_manifest_candidate,core,b1_grammar_k2_0000001,active,core,cloze,contentBankKey|routeKey|moduleKey|sourceRowAuditKey|reviewStatus|rendererImportStatus,,Item has fields suitable for manifest/default migration or is missing manifest-ready fields.
metadata_manifest_candidate,core,b1_vocab_bewerbung_0000001,active,core,cloze,contentBankKey|routeKey|moduleKey|sourceRowAuditKey|reviewStatus|rendererImportStatus,,Item has fields suitable for manifest/default migration or is missing manifest-ready fields.
metadata_manifest_candidate,core,b1_vocab_beruf_0000001,active,core,cloze,contentBankKey|routeKey|moduleKey|sourceRowAuditKey|reviewStatus|rendererImportStatus,,Item has fields suitable for manifest/default migration or is missing manifest-ready fields.
metadata_manifest_candidate,core,b1_vocab_faehigkeit_0000001,active,core,cloze,contentBankKey|routeKey|moduleKey|sourceRowAuditKey|reviewStatus|rendererImportStatus,,Item has fields suitable for manifest/default migration or is missing manifest-ready fields.
