issueType,bankKey,itemId,status,routeKey,surface,reviewStatus,reviewFlagReason,humanReviewReason,issueCodes,reason
review_queue_item,b1_m01,v080149_cat02_collocation_cat02_coll_005,active,b1_m01,contrast,review_flagged_imported,CAT12/CAT10 overlap,CAT12/CAT10 overlap,privacy_security_review | medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_collocation_cat02_coll_012,active,b1_m01,correction,review_flagged_imported,term variants such as Kästchen/Feld need later schema decision,term variants such as Kästchen/Feld need later schema decision,register_unclear,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_collocation_cat02_coll_014,active,b1_m01,contrast,review_flagged_imported,preposition alternatives can be valid in some contexts,preposition alternatives can be valid in some contexts,accepted_answer_policy_gap,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_collocation_cat02_coll_022,active,b1_m01,correction,review_flagged_imported,CAT12 admin overlap,CAT12 admin overlap,medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_collocation_cat02_coll_023,active,b1_m01,production,review_flagged_imported,CAT10/CAT12 overlap and valid alternatives,CAT10/CAT12 overlap and valid alternatives,privacy_security_review | medical_legal_admin_review | accepted_answer_policy_gap,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_contrast_cat02_cs_019,active,b1_m01,contrast,review_flagged_imported,B1/CAT05 boundary,B1/CAT05 boundary,register_unclear | category_boundary_issue | explain_generic,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_practice_family_cat02_pf_007,active,b1_m01,cloze,review_flagged_imported,accepted alternatives/context,accepted alternatives/context,accepted_answer_policy_gap,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_practice_family_cat02_pf_008,active,b1_m01,cloze,review_flagged_imported,CAT05 boundary,CAT05 boundary,register_unclear | category_boundary_issue,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_practice_family_cat02_pf_019,active,b1_m01,cloze,review_flagged_imported,register/alternatives,register/alternatives,accepted_answer_policy_gap | register_unclear,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_practice_family_cat02_pf_039,active,b1_m01,cloze,review_flagged_imported,CAT12 overlap,CAT12 overlap,medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_practice_family_cat02_pf_040,active,b1_m01,cloze,review_flagged_imported,CAT10 overlap,CAT10 overlap,privacy_security_review | category_boundary_issue,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_practice_family_cat02_pf_041,active,b1_m01,cloze,review_flagged_imported,CAT10/CAT12 overlap,CAT10/CAT12 overlap,privacy_security_review | category_boundary_issue,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_practice_family_cat02_pf_042,active,b1_m01,cloze,review_flagged_imported,CAT10 overlap,CAT10 overlap,privacy_security_review | category_boundary_issue,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_practice_family_cat02_pf_050,active,b1_m01,cloze,review_flagged_imported,CAT10/B1+ boundary,CAT10/B1+ boundary,privacy_security_review | register_unclear | category_boundary_issue,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_redemittel_cat02_r_007,active,b1_m01,production,review_flagged_imported,accepted alternatives/register,accepted alternatives/register,accepted_answer_policy_gap | register_unclear,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_redemittel_cat02_r_008,active,b1_m01,production,review_flagged_imported,CAT05 boundary,CAT05 boundary,register_unclear | category_boundary_issue,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_redemittel_cat02_r_019,active,b1_m01,production,review_flagged_imported,register and accepted alternatives,register and accepted alternatives,accepted_answer_policy_gap | register_unclear,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_redemittel_cat02_r_039,active,b1_m01,production,review_flagged_imported,CAT12/admin overlap,CAT12/admin overlap,medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_redemittel_cat02_r_040,active,b1_m01,production,review_flagged_imported,CAT10 overlap,CAT10 overlap,privacy_security_review,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_redemittel_cat02_r_041,active,b1_m01,production,review_flagged_imported,CAT10/CAT12 overlap,CAT10/CAT12 overlap,privacy_security_review | medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_redemittel_cat02_r_042,active,b1_m01,production,review_flagged_imported,CAT10 overlap,CAT10 overlap,privacy_security_review,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_redemittel_cat02_r_050,active,b1_m01,production,review_flagged_imported,CAT10/B1+ boundary,CAT10/B1+ boundary,privacy_security_review | register_unclear | category_boundary_issue,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_wortschatz_cat02_w_004,active,b1_m01,production,review_flagged_imported,neutral role term may need register check,neutral role term may need register check,accepted_answer_policy_gap | register_unclear,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_wortschatz_cat02_w_014,active,b1_m01,production,review_flagged_imported,declension/register and CAT05 overlap,declension/register and CAT05 overlap,accepted_answer_policy_gap | register_unclear | category_boundary_issue,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_wortschatz_cat02_w_040,active,b1_m01,production,review_flagged_imported,CAT12 overlap; review before import,CAT12 overlap; review before import,medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_wortschatz_cat02_w_043,active,b1_m01,production,review_flagged_imported,technical support overlap,technical support overlap,privacy_security_review,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_wortschatz_cat02_w_045,active,b1_m01,production,review_flagged_imported,technical support overlap,technical support overlap,privacy_security_review,Item is excluded or marked for review.
review_queue_item,b1_m01,v080149_cat02_wortschatz_cat02_w_055,active,b1_m01,production,review_flagged_imported,abstract noun; review naturalness in prompts,abstract noun; review naturalness in prompts,register_unclear,Item is excluded or marked for review.
review_queue_item,b1_m02,v080149_cat01_collocation_cat01_coll_015,active,b1_m02,contrast,review_flagged_imported,valid alternative risk,valid alternative risk,choice_valid_alternative,Item is excluded or marked for review.
review_queue_item,b1_m02,v080149_cat01_collocation_cat01_coll_016,active,b1_m02,contrast,review_flagged_imported,valid alternative risk,valid alternative risk,choice_valid_alternative,Item is excluded or marked for review.
review_queue_item,b1_m02,v080149_cat01_contrast_cat01_cs_011,active,b1_m02,contrast,review_flagged_imported,valid alternatives with verbinden,valid alternatives with verbinden,choice_valid_alternative,Item is excluded or marked for review.
review_queue_item,b1_m02,v080149_cat01_practice_family_cat01_pf_036,active,b1_m02,cloze,review_flagged_imported,register/valid alternative risk,register/valid alternative risk,choice_valid_alternative | register_unclear,Item is excluded or marked for review.
review_queue_item,b1_m02,v080149_cat01_practice_family_cat01_pf_053,active,b1_m02,choice,review_flagged_imported,formal phrase/register,formal phrase/register,register_unclear,Item is excluded or marked for review.
review_queue_item,b1_m02,v080149_cat01_redemittel_cat01_r_021,active,b1_m02,production,review_flagged_imported,wegen/genitive B1+ boundary,wegen/genitive B1+ boundary,b1_b2_boundary,Item is excluded or marked for review.
review_queue_item,b1_m02,v080149_cat01_redemittel_cat01_r_044,active,b1_m02,production,review_flagged_imported,B1/B1+ boundary,B1/B1+ boundary,b1_b2_boundary,Item is excluded or marked for review.
review_queue_item,b1_m02,v080149_cat01_redemittel_cat01_r_046,active,b1_m02,production,review_flagged_imported,register/B1 level,register/B1 level,register_unclear,Item is excluded or marked for review.
review_queue_item,b1_m02,v080149_cat01_wortschatz_cat01_w_026,active,b1_m02,choice,review_flagged_imported,"register, valid alternative, or admin/medical precision requires human/native review","register, valid alternative, or admin/medical precision requires human/native review",medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m02,v080149_cat01_wortschatz_cat01_w_032,active,b1_m02,production,review_flagged_imported,medical/admin precision,medical/admin precision,medical_legal_admin_review | medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m02,v080149_cat01_wortschatz_cat01_w_033,active,b1_m02,choice,review_flagged_imported,medical ambiguity,medical ambiguity,medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m02,v080149_cat01_wortschatz_cat01_w_034,active,b1_m02,choice,review_flagged_imported,insurance precision,insurance precision,medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m02,v080149_cat01_wortschatz_cat01_w_037,active,b1_m02,choice,review_flagged_imported,admin precision,admin precision,medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m02,v080149_cat01_wortschatz_cat01_w_044,active,b1_m02,choice,review_flagged_imported,register/admin nuance,register/admin nuance,medical_legal_admin_review | register_unclear,Item is excluded or marked for review.
review_queue_item,b1_m02,v080149_cat01_wortschatz_cat01_w_045,active,b1_m02,choice,review_flagged_imported,register/admin nuance,register/admin nuance,medical_legal_admin_review | register_unclear,Item is excluded or marked for review.
review_queue_item,b1_m02,v080149_cat01_wortschatz_cat01_w_057,active,b1_m02,production,review_flagged_imported,"register, valid alternative, or admin/medical precision requires human/native review","register, valid alternative, or admin/medical precision requires human/native review",medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m02,v080149_cat01_wortschatz_cat01_w_058,active,b1_m02,production,review_flagged_imported,"register, valid alternative, or admin/medical precision requires human/native review","register, valid alternative, or admin/medical precision requires human/native review",medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m03,v080149_cat03_collocation_cat03_coll_009,active,b1_m03,production,review_flagged_imported,immigration/legal nuance,immigration/legal nuance,medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m03,v080149_cat03_collocation_cat03_coll_010,active,b1_m03,production,review_flagged_imported,work-permit legal nuance,work-permit legal nuance,medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m03,v080149_cat03_collocation_cat03_coll_011,active,b1_m03,contrast,review_flagged_imported,legal/admin distinction,legal/admin distinction,medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m03,v080149_cat03_collocation_cat03_coll_012,active,b1_m03,contrast,review_flagged_imported,legal/admin distinction,legal/admin distinction,medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m03,v080149_cat03_collocation_cat03_coll_014,active,b1_m03,contrast,review_flagged_imported,institutional distinction,institutional distinction,medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m03,v080149_cat03_collocation_cat03_coll_019,active,b1_m03,correction,review_flagged_imported,CAT04 overlap,CAT04 overlap,evidence_overclaim,Item is excluded or marked for review.
review_queue_item,b1_m03,v080149_cat03_collocation_cat03_coll_023,active,b1_m03,contrast,review_flagged_imported,official notice nuance,official notice nuance,medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m03,v080149_cat03_contrast_cat03_cs_001,active,b1_m03,contrast,review_flagged_imported,institutional distinction / legal-admin nuance,institutional distinction / legal-admin nuance,medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m03,v080149_cat03_contrast_cat03_cs_002,active,b1_m03,contrast,review_flagged_imported,institutional distinction / benefits nuance,institutional distinction / benefits nuance,medical_legal_admin_review,Item is excluded or marked for review.
review_queue_item,b1_m03,v080149_cat03_contrast_cat03_cs_009,active,b1_m03,contrast,review_flagged_imported,legal/admin distinction,legal/admin distinction,medical_legal_admin_review,Item is excluded or marked for review.
