queueId,itemId,sourceRowId,sourceFile,originQueueFile,originVersion,issueType,issueCodes,currentManifestStatus,currentRouteKey,currentModuleKey,currentContentBankKey,currentTaskType,currentAnswerMode,currentResponseSurface,normalPracticeEligible,normalAutoGradedPracticeEligible,activeB1Evidence,reviewOnly,v02ApplyGateStatus,sourceCleanupBatch,feedbackCleanupBatch,metadataProvenance,metadataConfidence,currentResolutionBucket,currentResolutionReason,recommendedNextAction,riskLevel
rq-14240,b1_grammar_connector_0000001,,index.html,docs/qa/v0.85.9_metadata_manifest_deferred_rows.csv,v0.85.9,metadata_deferred_missing_target_metadata,targetFamily|reviewGroup|targetId,found,today,core,core,grammar_cloze,,,,,,,,,,deterministic_default,high,METADATA_DEFERRED_NO_RUNTIME_RISK,v0.85.9 manifest has stable source/route metadata but deferred unsafe semantic target/review fields.,Leave semantic metadata deferred until a targeted metadata pass.,low
rq-14241,b1_grammar_connector_002,,index.html,docs/qa/v0.85.9_metadata_manifest_deferred_rows.csv,v0.85.9,metadata_deferred_missing_target_metadata,targetFamily|reviewGroup|targetId,found,today,core,core,grammar_cloze,,,,,,,,,,deterministic_default,high,METADATA_DEFERRED_NO_RUNTIME_RISK,v0.85.9 manifest has stable source/route metadata but deferred unsafe semantic target/review fields.,Leave semantic metadata deferred until a targeted metadata pass.,low
rq-14242,b1_grammar_connector_003,,index.html,docs/qa/v0.85.9_metadata_manifest_deferred_rows.csv,v0.85.9,metadata_deferred_missing_target_metadata,targetFamily|reviewGroup|targetId,found,today,core,core,grammar_cloze,,,,,,,,,,deterministic_default,high,METADATA_DEFERRED_NO_RUNTIME_RISK,v0.85.9 manifest has stable source/route metadata but deferred unsafe semantic target/review fields.,Leave semantic metadata deferred until a targeted metadata pass.,low
rq-14243,b1_grammar_connector_004,,index.html,docs/qa/v0.85.9_metadata_manifest_deferred_rows.csv,v0.85.9,metadata_deferred_missing_target_metadata,targetFamily|reviewGroup|targetId,found,today,core,core,grammar_cloze,,,,,,,,,,deterministic_default,high,METADATA_DEFERRED_NO_RUNTIME_RISK,v0.85.9 manifest has stable source/route metadata but deferred unsafe semantic target/review fields.,Leave semantic metadata deferred until a targeted metadata pass.,low
rq-14244,b1_grammar_final_0000001,,index.html,docs/qa/v0.85.9_metadata_manifest_deferred_rows.csv,v0.85.9,metadata_deferred_missing_target_metadata,targetFamily|reviewGroup|targetId,found,today,core,core,grammar_cloze,,,,,,,,,,deterministic_default,high,METADATA_DEFERRED_NO_RUNTIME_RISK,v0.85.9 manifest has stable source/route metadata but deferred unsafe semantic target/review fields.,Leave semantic metadata deferred until a targeted metadata pass.,low
rq-14245,b1_grammar_temporal_0000001,,index.html,docs/qa/v0.85.9_metadata_manifest_deferred_rows.csv,v0.85.9,metadata_deferred_missing_target_metadata,targetFamily|reviewGroup|targetId,found,today,core,core,grammar_cloze,,,,,,,,,,deterministic_default,high,METADATA_DEFERRED_NO_RUNTIME_RISK,v0.85.9 manifest has stable source/route metadata but deferred unsafe semantic target/review fields.,Leave semantic metadata deferred until a targeted metadata pass.,low
rq-14246,b1_grammar_preposition_0000001,,index.html,docs/qa/v0.85.9_metadata_manifest_deferred_rows.csv,v0.85.9,metadata_deferred_missing_target_metadata,targetFamily|reviewGroup|targetId,found,today,core,core,grammar_cloze,,,,,,,,,,deterministic_default,high,METADATA_DEFERRED_NO_RUNTIME_RISK,v0.85.9 manifest has stable source/route metadata but deferred unsafe semantic target/review fields.,Leave semantic metadata deferred until a targeted metadata pass.,low
rq-14247,b1_grammar_k2_0000001,,index.html,docs/qa/v0.85.9_metadata_manifest_deferred_rows.csv,v0.85.9,metadata_deferred_missing_target_metadata,targetFamily|reviewGroup|targetId,found,today,core,core,grammar_cloze,,,,,,,,,,deterministic_default,high,METADATA_DEFERRED_NO_RUNTIME_RISK,v0.85.9 manifest has stable source/route metadata but deferred unsafe semantic target/review fields.,Leave semantic metadata deferred until a targeted metadata pass.,low
rq-14248,b1_vocab_bewerbung_0000001,,index.html,docs/qa/v0.85.9_metadata_manifest_deferred_rows.csv,v0.85.9,metadata_deferred_missing_target_metadata,targetFamily|reviewGroup|targetId,found,today,core,core,vocab_cloze,,,,,,,,,,deterministic_default,high,METADATA_DEFERRED_NO_RUNTIME_RISK,v0.85.9 manifest has stable source/route metadata but deferred unsafe semantic target/review fields.,Leave semantic metadata deferred until a targeted metadata pass.,low
rq-14249,b1_vocab_beruf_0000001,,index.html,docs/qa/v0.85.9_metadata_manifest_deferred_rows.csv,v0.85.9,metadata_deferred_missing_target_metadata,targetFamily|reviewGroup|targetId,found,today,core,core,vocab_cloze,,,,,,,,,,deterministic_default,high,METADATA_DEFERRED_NO_RUNTIME_RISK,v0.85.9 manifest has stable source/route metadata but deferred unsafe semantic target/review fields.,Leave semantic metadata deferred until a targeted metadata pass.,low
