sampleReason,currentSourceFile,currentItemId,v02RowId,matchStatus,v02Decision,proposedBucket,proposedAction,currentTaskType,currentResponseSurface,targetFamily,hasV02ReplacementFields,replacementFieldList,quarantineReason,productionReason,riskFlag,notes
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_001,cat02-coll-001,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_001,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31475
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_002,cat02-coll-002,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_002,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31476
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_003,cat02-coll-003,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_003,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31477
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_004,cat02-coll-004,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_004,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31478
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_006,cat02-coll-006,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_006,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31480
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_007,cat02-coll-007,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_007,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31481
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_008,cat02-coll-008,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_008,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31482
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_009,cat02-coll-009,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_009,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31483
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_010,cat02-coll-010,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_010,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31484
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_011,cat02-coll-011,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_011,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31485
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_013,cat02-coll-013,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_013,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31487
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_015,cat02-coll-015,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_015,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31489
