itemId,sourceFile,issueClass,classification,reason,changedInV087
b1_redemittel_001,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_002,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_003,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_004,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_005,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_006,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_007,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_008,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_009,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_010,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_011,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_012,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_013,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_014,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_015,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_016,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_017,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_018,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_019,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_020,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_021,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_022,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_023,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_024,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_025,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_026,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
