queueId,itemId,sourceRowId,sourceFile,originQueueFile,originVersion,issueType,issueCodes,currentManifestStatus,currentRouteKey,currentModuleKey,currentContentBankKey,currentTaskType,currentAnswerMode,currentResponseSurface,normalPracticeEligible,normalAutoGradedPracticeEligible,activeB1Evidence,reviewOnly,v02ApplyGateStatus,sourceCleanupBatch,feedbackCleanupBatch,metadataProvenance,metadataConfidence,currentResolutionBucket,currentResolutionReason,recommendedNextAction,riskLevel
rq-07936,b1_vocab_termin_001,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07937,b1_vocab_termin_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07939,b1_vocab_bestaetigung_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07941,b1_vocab_unterlagen_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07942,b1_vocab_formular_001,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07943,b1_vocab_formular_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07944,b1_vocab_beschwerde_001,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07945,b1_vocab_beschwerde_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07947,b1_vocab_lieferung_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07949,b1_vocab_bestellung_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07951,b1_vocab_rechnung_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
