currentSourceFile,currentItemId,currentSourceRowId,v02RowId,matchStatus,oldManifestBucket,oldManifestAction,v02Decision,comparisonDecision,recoveryDecision,proposedBucket,proposedAction,currentTaskType,currentResponseSurface,targetFamily,hasV02ReplacementFields,replacementFieldList,currentPrompt,v02Prompt,currentStimulus,v02Stimulus,currentOptions,v02Options,currentAnswer,v02Answer,currentExplain,v02Explain,quarantineReason,productionReason,legacySeedReason,duplicateLineageStatus,riskFlag,notes
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_005,cat02-coll-005,cat02-coll-005,matched_replacement_layer,Exception,manual review: unrecognised v0.2 decision vocabulary,move_to_human_review,move_to_human_review,quarantine_not_normal_practice,QUARANTINE,exclude from normal learner practice in future apply patch unless human review clears it,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_005,false,,Welche Kollokation passt? register for the course,Welche Kollokation passt? register for the course,Choose the best German option.,Choose the best German option.,sich für den Kurs anmelden | teilnehmen | einloggen | den Kurs anmelden,,sich für den Kurs anmelden,sich für den Kurs anmelden,Reflexive: `sich für den Kurs anmelden`.,Reflexive: `sich für den Kurs anmelden`.,"v0.2/comparison decision requires review, downgrade, defer or cut",,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_012,cat02-coll-012,cat02-coll-012,matched_replacement_layer,Exception,manual review: unrecognised v0.2 decision vocabulary,move_to_human_review,move_to_human_review,quarantine_not_normal_practice,QUARANTINE,exclude from normal learner practice in future apply patch unless human review clears it,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_012,false,,Welche Kollokation passt? tick/check something,Welche Kollokation passt? tick/check something,Choose the best German option.,Choose the best German option.,etwas ankreuzen | markieren | ausfüllen | etwas kreuzen an,,etwas ankreuzen,etwas ankreuzen,Separable verb: ich kreuze ... an.,Separable verb: ich kreuze ... an.,"v0.2/comparison decision requires review, downgrade, defer or cut",,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_014,cat02-coll-014,cat02-coll-014,matched_replacement_layer,Exception,manual review: unrecognised v0.2 decision vocabulary,move_to_human_review,move_to_human_review,quarantine_not_normal_practice,QUARANTINE,exclude from normal learner practice in future apply patch unless human review clears it,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_014,false,,Welche Kollokation passt? have experience with the program,Welche Kollokation passt? have experience with the program,Choose the best German option.,Choose the best German option.,Erfahrung mit dem Programm haben | Berufserfahrung | Deutschkenntnisse | Erfahrung in dem Programm,,Erfahrung mit dem Programm haben,Erfahrung mit dem Programm haben,Use `Erfahrung mit + dative` for experience with a tool/topic.,Use `Erfahrung mit + dative` for experience with a tool/topic.,"v0.2/comparison decision requires review, downgrade, defer or cut",,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_022,cat02-coll-022,cat02-coll-022,matched_replacement_layer,Exception,manual review: unrecognised v0.2 decision vocabulary,move_to_human_review,move_to_human_review,quarantine_not_normal_practice,QUARANTINE,exclude from normal learner practice in future apply patch unless human review clears it,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_022,false,,Welche Kollokation passt? show ID,Welche Kollokation passt? show ID,Choose the best German option.,Choose the best German option.,den Ausweis zeigen | mitbringen | ausfüllen | der Ausweis zeigen,,den Ausweis zeigen,den Ausweis zeigen,`zeigen` takes an accusative object: den Ausweis.,`zeigen` takes an accusative object: den Ausweis.,"v0.2/comparison decision requires review, downgrade, defer or cut",,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_023,cat02-coll-023,cat02-coll-023,matched_replacement_layer,Exception,manual review: unrecognised v0.2 decision vocabulary,move_to_human_review,move_to_human_review,quarantine_not_normal_practice,QUARANTINE,exclude from normal learner practice in future apply patch unless human review clears it,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_023,false,,Welche Kollokation passt? log in/register in the app,Welche Kollokation passt? log in/register in the app,Choose the best German option.,Choose the best German option.,sich in der App anmelden | sich für Kurs anmelden | Passwort | in der App anmelden vs für den Kurs anmelden,,sich in der App anmelden,sich in der App anmelden,Separate course registration from app login.,Separate course registration from app login.,"v0.2/comparison decision requires review, downgrade, defer or cut",,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_contrast_cat02_cs_013,cat02-cs-013,cat02-cs-013,matched_replacement_layer,Core Safe,keep current row unchanged,revise_light,revise_light,direct_recover_from_v02,QUARANTINE,exclude or repair via v0.2 replacement after review,Auswahl,selected_choice_value,CAT02-contrast-cat02_cs_013,true,prompt,Welche Form passt zur Bedeutung?,Welche Form passt zu `show vs find`?,Show something to someone.,Show something to someone.,zeigen | finden | suchen | erklären,zeigen | finden | suchen | erklären,zeigen,zeigen,"Show something to someone. Check the nearby contrast, not just a related word.","Show something to someone. Check the nearby contrast, not just a related word.",comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_contrast_cat02_cs_019,cat02-cs-019,cat02-cs-019,matched_replacement_layer,Exception,manual review: unrecognised v0.2 decision vocabulary,move_to_human_review,move_to_human_review,quarantine_not_normal_practice,QUARANTINE,exclude from normal learner practice in future apply patch unless human review clears it,Auswahl,selected_choice_value,CAT02-contrast-cat02_cs_019,false,,Welche Form passt zu `Einarbeitung vs Ausbildung`?,Welche Form passt zu `Einarbeitung vs Ausbildung`?,Einarbeitung vs Ausbildung,Einarbeitung vs Ausbildung,Einarbeitung | Ausbildung | Bewerbung | Probezeit,Einarbeitung | Ausbildung | Bewerbung | Probezeit,Einarbeitung,Einarbeitung,"Onboarding/training into tasks. Check the nearby contrast, not just a related word.","Onboarding/training into tasks. Check the nearby contrast, not just a related word.","v0.2/comparison decision requires review, downgrade, defer or cut",,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_001,cat02-pf-001,cat02-pf-001,matched_replacement_layer,Core Safe,keep current row unchanged,keep_as_is,keep_as_is,usable_keep_as_is,QUARANTINE,exclude or repair via v0.2 replacement after review,Luecke,typed,CAT02-practice_family-cat02_pf_001,true,prompt,Ich bin neu im ___.,Ergänze den Satz.,Ich bin neu im ___.,Ich bin neu im ___.,,,Kurs,Kurs,Fixed phrase: `neu im Kurs`.,Fixed phrase: `neu im Kurs`.,comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_002,cat02-pf-002,cat02-pf-002,matched_replacement_layer,Core Safe,keep current row unchanged,keep_as_is,keep_as_is,usable_keep_as_is,QUARANTINE,exclude or repair via v0.2 replacement after review,Luecke,typed,CAT02-practice_family-cat02_pf_002,true,prompt,Ich bin neu in der ___.,Ergänze den Satz.,Ich bin neu in der ___.,Ich bin neu in der ___.,,,Firma,Firma,Use `in der Firma`; `Firma` is feminine.,Use `in der Firma`; `Firma` is feminine.,comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
content/b1-m01-variant-families.js,v080149_cat02_practice_family_cat02_pf_003,cat02-pf-003,cat02-pf-003,matched_replacement_layer,Core Safe,keep current row unchanged,keep_as_is,keep_as_is,usable_keep_as_is,QUARANTINE,exclude or repair via v0.2 replacement after review,Luecke,typed,CAT02-practice_family-cat02_pf_003,true,prompt,Ich bin heute zum ersten Mal ___.,Ergänze den Satz.,Ich bin heute zum ersten Mal ___.,Ich bin heute zum ersten Mal ___.,,,hier,hier,Fixed phrase: `zum ersten Mal hier`.,Fixed phrase: `zum ersten Mal hier`.,comparison file records visible learner-facing issue,,,duplicate_v02_lineage_resolved,duplicate_v02_lineage_resolved,
