queueId,itemId,sourceRowId,sourceFile,originQueueFile,originVersion,issueType,issueCodes,currentManifestStatus,currentRouteKey,currentModuleKey,currentContentBankKey,currentTaskType,currentAnswerMode,currentResponseSurface,normalPracticeEligible,normalAutoGradedPracticeEligible,activeB1Evidence,reviewOnly,v02ApplyGateStatus,sourceCleanupBatch,feedbackCleanupBatch,metadataProvenance,metadataConfidence,currentResolutionBucket,currentResolutionReason,recommendedNextAction,riskLevel
rq-00966,v080149_cat01_wortschatz_cat01_w_057,cat01-w-057,b1_m02,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,medical_legal_admin_review,found,b1_m02,b1-02,b1_m02,multiple_choice,selected_choice_value,,,,true,,replaced_v0_85_6a_2,,,explicit,high,ACTIVE_NEEDS_HUMAN_REVIEW,Active normal-practice candidate needs human/content review before safe auto-resolution.,Review in a targeted content QA patch.,high
rq-00967,v080149_cat01_wortschatz_cat01_w_058,cat01-w-058,b1_m02,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,medical_legal_admin_review,found,b1_m02,b1-02,b1_m02,multiple_choice,selected_choice_value,,,,true,,replaced_v0_85_6a_2,,,explicit,high,ACTIVE_NEEDS_HUMAN_REVIEW,Active normal-practice candidate needs human/content review before safe auto-resolution.,Review in a targeted content QA patch.,high
rq-01233,v080149_cat06_collocation_cat06_coll_014,cat06-coll-014,b1_m06,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,medical_legal_admin_review,found,b1_m06,b1-06,b1_m06,multiple_choice,selected_choice_value,,,,true,,,,,explicit,high,ACTIVE_NEEDS_HUMAN_REVIEW,Active normal-practice candidate needs human/content review before safe auto-resolution.,Review in a targeted content QA patch.,high
rq-01240,v080149_cat06_collocation_cat06_coll_029,cat06-coll-029,b1_m06,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,medical_legal_admin_review,found,b1_m06,b1-06,b1_m06,multiple_choice,selected_choice_value,,,,true,,,,,explicit,high,ACTIVE_NEEDS_HUMAN_REVIEW,Active normal-practice candidate needs human/content review before safe auto-resolution.,Review in a targeted content QA patch.,high
rq-01245,v080149_cat06_collocation_cat06_coll_036,cat06-coll-036,b1_m06,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,medical_legal_admin_review,found,b1_m06,b1-06,b1_m06,multiple_choice,selected_choice_value,,,,true,,,,,explicit,high,ACTIVE_NEEDS_HUMAN_REVIEW,Active normal-practice candidate needs human/content review before safe auto-resolution.,Review in a targeted content QA patch.,high
rq-01264,v080149_cat06_practice_family_cat06_pf_019,cat06-pf-019,b1_m06,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,medical_legal_admin_review,found,b1_m06,b1-06,b1_m06,error_repair,typed,,,,true,,replaced_v0_85_6a_2,,,explicit,high,ACTIVE_NEEDS_HUMAN_REVIEW,Active normal-practice candidate needs human/content review before safe auto-resolution.,Review in a targeted content QA patch.,high
rq-01265,v080149_cat06_practice_family_cat06_pf_022,cat06-pf-022,b1_m06,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,medical_legal_admin_review,found,b1_m06,b1-06,b1_m06,multiple_choice,selected_choice_value,,,,true,,,,,explicit,high,ACTIVE_NEEDS_HUMAN_REVIEW,Active normal-practice candidate needs human/content review before safe auto-resolution.,Review in a targeted content QA patch.,high
rq-01266,v080149_cat06_practice_family_cat06_pf_026,cat06-pf-026,b1_m06,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,medical_legal_admin_review,found,b1_m06,b1-06,b1_m06,multiple_choice,selected_choice_value,,,,true,,,,,explicit,high,ACTIVE_NEEDS_HUMAN_REVIEW,Active normal-practice candidate needs human/content review before safe auto-resolution.,Review in a targeted content QA patch.,high
rq-01275,v080149_cat06_practice_family_cat06_pf_048,cat06-pf-048,b1_m06,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,medical_legal_admin_review,found,b1_m06,b1-06,b1_m06,multiple_choice,selected_choice_value,,,,true,,,,,explicit,high,ACTIVE_NEEDS_HUMAN_REVIEW,Active normal-practice candidate needs human/content review before safe auto-resolution.,Review in a targeted content QA patch.,high
rq-01293,v080149_cat06_practice_family_cat06_pf_090,cat06-pf-090,b1_m06,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,medical_legal_admin_review,found,b1_m06,b1-06,b1_m06,multiple_choice,selected_choice_value,,,,true,,,,,explicit,high,ACTIVE_NEEDS_HUMAN_REVIEW,Active normal-practice candidate needs human/content review before safe auto-resolution.,Review in a targeted content QA patch.,high
