id	prompt	answer	article_family	case	gender	number	mode	gloss	explanation	tags
art_def_nom_mas	Nominativ Maskulinum = ?	der	definite	Nominativ	Maskulinum	singular	table	Definite nominative masculine article	Definite nominative masculine uses der.	article;table;core;definite;nominative;masculine
art_def_nom_neu	Nominativ Neutrum = ?	das	definite	Nominativ	Neutrum	singular	table	Definite nominative neuter article	Definite nominative neuter uses das.	article;table;core;definite;nominative;neuter
art_def_nom_fem	Nominativ Femininum = ?	die	definite	Nominativ	Femininum	singular	table	Definite nominative feminine article	Definite nominative feminine uses die.	article;table;core;definite;nominative;feminine
art_def_nom_plu	Nominativ Plural = ?	die	definite	Nominativ	Plural	plural	table	Definite nominative plural article	Definite nominative plural uses die.	article;table;core;definite;nominative;plural
art_def_acc_mas	Akkusativ Maskulinum = ?	den	definite	Akkusativ	Maskulinum	singular	table	Definite accusative masculine article	Definite accusative masculine changes to den.	article;table;core;definite;accusative;masculine
art_def_acc_neu	Akkusativ Neutrum = ?	das	definite	Akkusativ	Neutrum	singular	table	Definite accusative neuter article	Definite accusative neuter stays das.	article;table;core;definite;accusative;neuter
art_def_acc_fem	Akkusativ Femininum = ?	die	definite	Akkusativ	Femininum	singular	table	Definite accusative feminine article	Definite accusative feminine stays die.	article;table;core;definite;accusative;feminine
art_def_acc_plu	Akkusativ Plural = ?	die	definite	Akkusativ	Plural	plural	table	Definite accusative plural article	Definite accusative plural stays die.	article;table;core;definite;accusative;plural
art_def_dat_mas	Dativ Maskulinum = ?	dem	definite	Dativ	Maskulinum	singular	table	Definite dative masculine article	Definite dative masculine uses dem.	article;table;core;definite;dative;masculine
art_def_dat_neu	Dativ Neutrum = ?	dem	definite	Dativ	Neutrum	singular	table	Definite dative neuter article	Definite dative neuter uses dem.	article;table;core;definite;dative;neuter
art_def_dat_fem	Dativ Femininum = ?	der	definite	Dativ	Femininum	singular	table	Definite dative feminine article	Definite dative feminine uses der.	article;table;core;definite;dative;feminine
art_def_dat_plu	Dativ Plural = ?	den	definite	Dativ	Plural	plural	table	Definite dative plural article	Definite dative plural uses den.	article;table;core;definite;dative;plural
art_ind_nom_mas	Nominativ Maskulinum = ?	ein	indefinite	Nominativ	Maskulinum	singular	table	Indefinite nominative masculine article	Indefinite nominative masculine uses ein.	article;table;core;indefinite;nominative;masculine
art_ind_nom_neu	Nominativ Neutrum = ?	ein	indefinite	Nominativ	Neutrum	singular	table	Indefinite nominative neuter article	Indefinite nominative neuter uses ein.	article;table;core;indefinite;nominative;neuter
art_ind_nom_fem	Nominativ Femininum = ?	eine	indefinite	Nominativ	Femininum	singular	table	Indefinite nominative feminine article	Indefinite nominative feminine uses eine.	article;table;core;indefinite;nominative;feminine
art_ind_nom_plu	Nominativ Plural = ?	none	indefinite	Nominativ	Plural	plural	table	Indefinite nominative plural no-article form	Indefinite plural has no article in nominative.	article;table;core;indefinite;nominative;plural;no-article
art_ind_acc_mas	Akkusativ Maskulinum = ?	einen	indefinite	Akkusativ	Maskulinum	singular	table	Indefinite accusative masculine article	Indefinite accusative masculine changes to einen.	article;table;core;indefinite;accusative;masculine
art_ind_acc_neu	Akkusativ Neutrum = ?	ein	indefinite	Akkusativ	Neutrum	singular	table	Indefinite accusative neuter article	Indefinite accusative neuter stays ein.	article;table;core;indefinite;accusative;neuter
art_ind_acc_fem	Akkusativ Femininum = ?	eine	indefinite	Akkusativ	Femininum	singular	table	Indefinite accusative feminine article	Indefinite accusative feminine stays eine.	article;table;core;indefinite;accusative;feminine
art_ind_acc_plu	Akkusativ Plural = ?	none	indefinite	Akkusativ	Plural	plural	table	Indefinite accusative plural no-article form	Indefinite plural has no article in accusative.	article;table;core;indefinite;accusative;plural;no-article
