sourceIssueType,issueType,bankKey,itemId,classification,afterNormalPracticeEligible,afterStatus,afterIssues,runtimeAction,reason
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_termin_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_bestaetigung_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_unterlagen_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_formular_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_beschwerde_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_lieferung_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_bestellung_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_rechnung_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_geraet_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_rueckmeldung_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
