itemId,sourceFile,classification,beforePrompt,afterPrompt,answerKey,afterAnswerKey,beforeAccepted,afterAccepted,sourceCleanupBatch,passFail,notes
b1_vocab_bestaetigung_001,content/b1-wortschatz.js,FIX_SAFE,Könnten Sie mir bitte eine ___ per E-Mail schicken?,Könnten Sie mir bitte eine ___ für den Termin per E-Mail schicken?,Bestätigung,Bestätigung,Bestätigung,Bestätigung,v0.85.7-under-contextualised-clozes,PASS,Add appointment context to cue Bestätigung without changing answer.
b1_vocab_unterlagen_001,content/b1-wortschatz.js,FIX_SAFE,Bitte schicken Sie mir die ___ bis Freitag.,Für die Bewerbung: Bitte schicken Sie mir die ___ bis Freitag.,Unterlagen,Unterlagen,Unterlagen,Unterlagen,v0.85.7-under-contextualised-clozes,PASS,Add application context to cue Unterlagen without changing answer.
b1_vocab_lieferung_001,content/b1-wortschatz.js,FIX_SAFE,Die ___ kommt leider erst morgen an.,Die ___ meiner Bestellung kommt leider erst morgen an.,Lieferung,Lieferung,Lieferung,Lieferung,v0.85.7-under-contextualised-clozes,PASS,Add order context to cue Lieferung without changing answer.
b1_vocab_bestellung_001,content/b1-wortschatz.js,FIX_SAFE,Ich möchte meine ___ ändern.,Ich habe online bestellt. Ich möchte meine ___ ändern.,Bestellung,Bestellung,Bestellung,Bestellung,v0.85.7-under-contextualised-clozes,PASS,Add ordered-item context to cue Bestellung without changing answer.
b1_vocab_rechnung_001,content/b1-wortschatz.js,FIX_SAFE,Bitte schicken Sie mir die ___ noch einmal.,Für die Zahlung: Bitte schicken Sie mir die ___ noch einmal.,Rechnung,Rechnung,Rechnung,Rechnung,v0.85.7-under-contextualised-clozes,PASS,Add payment context to cue Rechnung without changing answer.
b1_vocab_geraet_001,content/b1-wortschatz.js,FIX_SAFE,Das ___ funktioniert nicht.,Das technische ___ funktioniert nicht.,Gerät,Gerät,Gerät,Gerät,v0.85.7-under-contextualised-clozes,PASS,Add technical context to cue Gerät without changing answer.
b1_vocab_geraet_002,content/b1-wortschatz.js,FIX_SAFE,Ich habe ein Problem mit dem ___.,Ich habe ein technisches Problem mit dem ___.,Gerät,Gerät,Gerät,Gerät,v0.85.7-under-contextualised-clozes,PASS,Add technical problem context to cue Gerät without changing answer.
b1_vocab_krankmeldung_001,content/b1-wortschatz.js,FIX_SAFE,Ich schicke Ihnen die ___ per E-Mail.,"Weil ich krank bin, schicke ich Ihnen die ___ per E-Mail.",Krankmeldung,Krankmeldung,Krankmeldung,Krankmeldung,v0.85.7-under-contextualised-clozes,PASS,Add illness context to cue Krankmeldung without changing answer.
b1_vocab_arzttermin_001,content/b1-wortschatz.js,FIX_SAFE,Ich habe morgen einen ___ um 10 Uhr.,Ich habe morgen einen ___ beim Arzt um 10 Uhr.,Arzttermin,Arzttermin,Arzttermin,Arzttermin,v0.85.7-under-contextualised-clozes,PASS,Add doctor context to cue Arzttermin without changing answer.
b1_vocab_krankenkasse_001,content/b1-wortschatz.js,FIX_SAFE,Ich muss meine ___ anrufen.,Wegen meiner Versicherung muss ich meine ___ anrufen.,Krankenkasse,Krankenkasse,Krankenkasse,Krankenkasse,v0.85.7-under-contextualised-clozes,PASS,Add insurance context to cue Krankenkasse without changing answer.
b1_vocab_krankenkasse_002,content/b1-wortschatz.js,FIX_SAFE,Die Unterlagen schicke ich an die ___.,Die Unterlagen für die Versicherung schicke ich an die ___.,Krankenkasse,Krankenkasse,Krankenkasse,Krankenkasse,v0.85.7-under-contextualised-clozes,PASS,Add insurance-documents context to cue Krankenkasse without changing answer.
b1_vocab_versicherung_001,content/b1-wortschatz.js,FIX_SAFE,Ich habe eine Frage zu meiner ___.,Ich habe eine Frage zu meiner ___ bei der Krankenkasse.,Versicherung,Versicherung,Versicherung,Versicherung,v0.85.7-under-contextualised-clozes,PASS,Add Krankenkasse context to cue Versicherung without changing answer.
b1_vocab_gesundheitskarte_001,content/b1-wortschatz.js,FIX_SAFE,Bitte bringen Sie Ihre ___ zum Termin mit.,Bitte bringen Sie Ihre ___ zum Arzttermin mit.,Gesundheitskarte,Gesundheitskarte,Gesundheitskarte,Gesundheitskarte,v0.85.7-under-contextualised-clozes,PASS,Add doctor appointment context to cue Gesundheitskarte without changing answer.
b1_vocab_untersuchung_001,content/b1-wortschatz.js,FIX_SAFE,Die ___ dauert ungefähr zwanzig Minuten.,Beim Arzt: Die ___ dauert ungefähr zwanzig Minuten.,Untersuchung,Untersuchung,Untersuchung,Untersuchung,v0.85.7-under-contextualised-clozes,PASS,Add doctor context to cue Untersuchung without changing answer.
b1_vocab_beschwerden_001,content/b1-wortschatz.js,FIX_SAFE,Welche ___ haben Sie?,Die Ärztin fragt: Welche ___ haben Sie?,Beschwerden,Beschwerden,Beschwerden,Beschwerden,v0.85.7-under-contextualised-clozes,PASS,Add doctor-question context to cue Beschwerden without changing answer.
b1_vocab_bewerbung_001,content/b1-wortschatz.js,FIX_SAFE,Ich schicke Ihnen meine ___ per E-Mail.,Für die Stelle schicke ich Ihnen meine ___ per E-Mail.,Bewerbung,Bewerbung,Bewerbung,Bewerbung,v0.85.7-under-contextualised-clozes,PASS,Add job-position context to cue Bewerbung without changing answer.
b1_vocab_lebenslauf_001,content/b1-wortschatz.js,FIX_SAFE,Mein ___ ist im Anhang.,Bei meiner Bewerbung: Mein ___ ist im Anhang.,Lebenslauf,Lebenslauf,Lebenslauf,Lebenslauf,v0.85.7-under-contextualised-clozes,PASS,Add application context to cue Lebenslauf without changing answer.
b1_vocab_stelle_001,content/b1-wortschatz.js,FIX_SAFE,Ich interessiere mich für die ___.,Ich suche Arbeit und interessiere mich für die ___.,Stelle,Stelle,Stelle,Stelle,v0.85.7-under-contextualised-clozes,PASS,Add work-search context to cue Stelle without changing answer.
b1_vocab_aufgabe_001,content/b1-wortschatz.js,FIX_SAFE,Ich habe die ___ noch nicht verstanden.,Im Kurs habe ich die ___ noch nicht verstanden.,Aufgabe,Aufgabe,Aufgabe,Aufgabe,v0.85.7-under-contextualised-clozes,PASS,Add course context to cue Aufgabe without changing answer.
b1_vocab_besprechung_001,content/b1-wortschatz.js,FIX_SAFE,Die ___ beginnt um neun Uhr.,Die ___ mit dem Team beginnt um neun Uhr.,Besprechung,Besprechung,Besprechung,Besprechung,v0.85.7-under-contextualised-clozes,PASS,Add team context to cue Besprechung without changing answer.
b1_vocab_zugangsdaten_001,content/b1-wortschatz.js,FIX_SAFE,Ich habe meine ___ noch nicht bekommen.,Für den Online-Kurs habe ich meine ___ noch nicht bekommen.,Zugangsdaten,Zugangsdaten,Zugangsdaten,Zugangsdaten,v0.85.7-under-contextualised-clozes,PASS,Add online-course context to cue Zugangsdaten without changing answer.
b1_vocab_fehlermeldung_002,content/b1-wortschatz.js,FIX_SAFE,Ich bekomme immer wieder eine ___.,Beim Einloggen bekomme ich immer wieder eine ___.,Fehlermeldung,Fehlermeldung,Fehlermeldung,Fehlermeldung,v0.85.7-under-contextualised-clozes,PASS,Add login context to cue Fehlermeldung without changing answer.
b1_vocab_vorstellungsgespraech_001,content/b1-wortschatz.js,FIX_SAFE,Ich habe morgen ein ___.,Ich habe morgen ein ___ bei der Firma.,Vorstellungsgespräch,Vorstellungsgespräch,Vorstellungsgespräch,Vorstellungsgespräch,v0.85.7-under-contextualised-clozes,PASS,Add company/job context to cue Vorstellungsgespräch without changing answer.
