itemId,sourceFile,sourceRowId,currentStatus,routeExposure,taskType,answerMode,prompt,stimulus,answerKey,acceptedAnswers,currentExplainText,targetFamily,learningTarget,issueType,severity,safeFixAvailable,recommendedAction,classification,decision,decisionReason
b1_vocab_bestaetigung_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Könnten Sie mir bitte eine ___ für den Termin per E-Mail schicken?,,Bestätigung,"[""Bestätigung""]",Completed: eine Bestätigung für den Termin. Bestätigung is the written confirmation of an appointment or booking.,bestaetigung,die Bestätigung,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_unterlagen_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Für die Bewerbung: Bitte schicken Sie mir die ___ bis Freitag.,,Unterlagen,"[""Unterlagen""]",Completed: die Unterlagen. Unterlagen is normally plural for documents or papers you need to send.,unterlagen,die Unterlagen,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_lieferung_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Die ___ meiner Bestellung kommt leider erst morgen an.,,Lieferung,"[""Lieferung""]","Completed: Die Lieferung meiner Bestellung kommt morgen an. Lieferung is the delivery, not the order itself.",lieferung,die Lieferung,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_bestellung_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Ich habe online bestellt. Ich möchte meine ___ ändern.,,Bestellung,"[""Bestellung""]",Completed: meine Bestellung ändern. Bestellung means the order you placed.,bestellung,die Bestellung,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_rechnung_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Für die Zahlung: Bitte schicken Sie mir die ___ noch einmal.,,Rechnung,"[""Rechnung""]",Completed: die Rechnung noch einmal schicken. Rechnung is the invoice or bill for payment.,rechnung,die Rechnung,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_geraet_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Das technische ___ funktioniert nicht.,,Gerät,"[""Gerät""]",Completed: Das technische Gerät funktioniert nicht. Gerät is a device or piece of equipment.,geraet,das Gerät,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_geraet_002,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Ich habe ein technisches Problem mit dem ___.,,Gerät,"[""Gerät""]","Completed: mit dem Gerät. mit takes dative, so dem Gerät.",geraet,ein Problem mit dem Gerät,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_krankmeldung_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,"Weil ich krank bin, schicke ich Ihnen die ___ per E-Mail.",,Krankmeldung,"[""Krankmeldung""]",Completed: die Krankmeldung per E-Mail schicken. Krankmeldung is the sickness notification or sick note.,krankmeldung,die Krankmeldung,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_arzttermin_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Ich habe morgen einen ___ beim Arzt um 10 Uhr.,,Arzttermin,"[""Arzttermin""]",Completed: einen Arzttermin beim Arzt. haben takes an accusative object: einen Arzttermin.,arzttermin,der Arzttermin,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_krankenkasse_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Wegen meiner Versicherung muss ich meine ___ anrufen.,,Krankenkasse,"[""Krankenkasse""]",Completed: meine Krankenkasse anrufen. Krankenkasse is the health insurance provider.,krankenkasse,die Krankenkasse,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_krankenkasse_002,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Die Unterlagen für die Versicherung schicke ich an die ___.,,Krankenkasse,"[""Krankenkasse""]",Completed: an die Krankenkasse schicken. an + destination takes accusative here: die Krankenkasse.,krankenkasse,Krankenkasse,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_versicherung_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Ich habe eine Frage zu meiner ___ bei der Krankenkasse.,,Versicherung,"[""Versicherung""]",Completed: eine Frage zu meiner Versicherung. Versicherung means insurance.,versicherung,die Versicherung,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_gesundheitskarte_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Bitte bringen Sie Ihre ___ zum Arzttermin mit.,,Gesundheitskarte,"[""Gesundheitskarte""]",Completed: die Gesundheitskarte zum Arzttermin mitbringen. Gesundheitskarte is the health insurance card.,gesundheitskarte,die Gesundheitskarte,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_untersuchung_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Beim Arzt: Die ___ dauert ungefähr zwanzig Minuten.,,Untersuchung,"[""Untersuchung""]",Completed: Die Untersuchung dauert zwanzig Minuten. Untersuchung is a medical examination or check-up.,untersuchung,die Untersuchung,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_beschwerden_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Die Ärztin fragt: Welche ___ haben Sie?,,Beschwerden,"[""Beschwerden""]","Completed: Welche Beschwerden haben Sie? At the doctor, Beschwerden usually means symptoms.",beschwerden,die Beschwerden,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_bewerbung_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Für die Stelle schicke ich Ihnen meine ___ per E-Mail.,,Bewerbung,"[""Bewerbung""]",Completed: meine Bewerbung per E-Mail schicken. Bewerbung is the application for a job or position.,bewerbung,die Bewerbung,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
