currentSourceFile,currentItemId,currentSourceRowId,v02RowId,matchStatus,oldManifestBucket,oldManifestAction,v02Decision,comparisonDecision,recoveryDecision,proposedBucket,proposedAction,currentTaskType,currentResponseSurface,targetFamily,hasV02ReplacementFields,replacementFieldList,currentPrompt,v02Prompt,currentStimulus,v02Stimulus,currentOptions,v02Options,currentAnswer,v02Answer,currentExplain,v02Explain,quarantineReason,productionReason,legacySeedReason,duplicateLineageStatus,riskFlag,notes
content/b1-cases-articles.js,b1_cases_articles_nom_acc_masc_001,,,unmatched_current,Exception,manual review: no exact v0.2 source_row_id match,,,,LEGACY_SEED_SAFE_CANDIDATE,keep for separate seed-bank QA; do not remove as unmatched v0.2,Auswahl,selected_choice_value,cases_articles_nom_acc_masc_definite,false,,Welche Version ist richtig?,,The employee calls.,,Der Mitarbeiter ruft an. | Den Mitarbeiter ruft an. | Dem Mitarbeiter ruft an.,,Der Mitarbeiter ruft an.,,Role: the subject uses der.,,,,no imported v0.2 sourceRowId/comparison match; likely seed/system/route-specific content,,,
content/b1-cases-articles.js,b1_cases_articles_nom_acc_masc_002,,,unmatched_current,Exception,manual review: no exact v0.2 source_row_id match,,,,LEGACY_SEED_SAFE_CANDIDATE,keep for separate seed-bank QA; do not remove as unmatched v0.2,Luecke,typed,cases_articles_nom_acc_masc_definite,false,,Ich sehe ___ Mitarbeiter am Empfang.,,I see the employee at reception.,,,,den,,Case: sehen takes an accusative object: den Mitarbeiter.,,,,no imported v0.2 sourceRowId/comparison match; likely seed/system/route-specific content,,,
content/b1-cases-articles.js,b1_cases_articles_nom_acc_masc_003,,,unmatched_current,Exception,manual review: no exact v0.2 source_row_id match,,,,LEGACY_SEED_SAFE_CANDIDATE,keep for separate seed-bank QA; do not remove as unmatched v0.2,Reparatur,edit_text,cases_articles_nom_acc_masc_definite,false,,Ich sehe der Mitarbeiter am Empfang.,,I see the employee at reception.,,,,Ich sehe den Mitarbeiter am Empfang.,,sehen takes an accusative object; masculine der changes to den.,,,,no imported v0.2 sourceRowId/comparison match; likely seed/system/route-specific content,,,
content/b1-cases-articles.js,b1_cases_articles_nom_acc_masc_004,,,unmatched_current,Exception,manual review: no exact v0.2 source_row_id match,,,,LEGACY_SEED_SAFE_CANDIDATE,keep for separate seed-bank QA; do not remove as unmatched v0.2,Kontrast,selected_choice_value,cases_articles_nom_acc_masc_definite,false,,Welche Form passt zum direkten Objekt?,,I call the employee.,,Ich rufe den Mitarbeiter an. | Ich rufe der Mitarbeiter an. | Ich rufe dem Mitarbeiter an.,,Ich rufe den Mitarbeiter an.,,"Direct object: anrufen takes accusative, so der becomes den.",,,,no imported v0.2 sourceRowId/comparison match; likely seed/system/route-specific content,,,
content/b1-cases-articles.js,b1_cases_articles_acc_direct_001,,,unmatched_current,Exception,manual review: no exact v0.2 source_row_id match,,,,LEGACY_SEED_SAFE_CANDIDATE,keep for separate seed-bank QA; do not remove as unmatched v0.2,Auswahl,selected_choice_value,cases_articles_acc_direct_object,false,,Welche Form passt nach brauchen?,,I need an appointment.,,Ich brauche einen Termin. | Ich brauche ein Termin. | Ich brauche einem Termin.,,Ich brauche einen Termin.,,brauchen takes an accusative object: einen Termin.,,,,no imported v0.2 sourceRowId/comparison match; likely seed/system/route-specific content,,,
content/b1-cases-articles.js,b1_cases_articles_acc_direct_002,,,unmatched_current,Exception,manual review: no exact v0.2 source_row_id match,,,,LEGACY_SEED_SAFE_CANDIDATE,keep for separate seed-bank QA; do not remove as unmatched v0.2,Luecke,typed,cases_articles_acc_direct_object,false,,Wir suchen ___ Wohnung in der Nähe.,,We are looking for a flat nearby.,,,,eine,,suchen takes an accusative object; feminine eine stays eine.,,,,no imported v0.2 sourceRowId/comparison match; likely seed/system/route-specific content,,,
content/b1-cases-articles.js,b1_cases_articles_acc_direct_003,,,unmatched_current,Exception,manual review: no exact v0.2 source_row_id match,,,,LEGACY_SEED_SAFE_CANDIDATE,keep for separate seed-bank QA; do not remove as unmatched v0.2,Reparatur,edit_text,cases_articles_acc_direct_object,false,,Ich kaufe ein Fahrkarte.,,I buy a ticket.,,,,Ich kaufe eine Fahrkarte.,,Fahrkarte is feminine; the accusative form is eine Fahrkarte.,,,,no imported v0.2 sourceRowId/comparison match; likely seed/system/route-specific content,,,
content/b1-cases-articles.js,b1_cases_articles_acc_direct_004,,,unmatched_current,Exception,manual review: no exact v0.2 source_row_id match,,,,LEGACY_SEED_SAFE_CANDIDATE,keep for separate seed-bank QA; do not remove as unmatched v0.2,Kontrast,selected_choice_value,cases_articles_acc_direct_object,false,,Welche Version ist natürlich?,,She reads the letter.,,Sie liest den Brief. | Sie liest dem Brief. | Sie liest der Brief.,,Sie liest den Brief.,,lesen takes an accusative object: den Brief.,,,,no imported v0.2 sourceRowId/comparison match; likely seed/system/route-specific content,,,
content/b1-cases-articles.js,b1_cases_articles_fixed_dative_001,,,unmatched_current,Exception,manual review: no exact v0.2 source_row_id match,,,,LEGACY_SEED_SAFE_CANDIDATE,keep for separate seed-bank QA; do not remove as unmatched v0.2,Auswahl,selected_choice_value,cases_articles_fixed_dative_triggers,false,,Welche Form passt nach mit?,,I travel by bus.,,Ich fahre mit dem Bus. | Ich fahre mit den Bus. | Ich fahre mit der Bus.,,Ich fahre mit dem Bus.,,mit takes dative; masculine Bus uses dem.,,,,no imported v0.2 sourceRowId/comparison match; likely seed/system/route-specific content,,,
content/b1-cases-articles.js,b1_cases_articles_fixed_dative_002,,,unmatched_current,Exception,manual review: no exact v0.2 source_row_id match,,,,LEGACY_SEED_SAFE_CANDIDATE,keep for separate seed-bank QA; do not remove as unmatched v0.2,Luecke,typed,cases_articles_fixed_dative_triggers,false,,Der Termin ist bei ___ Ärztin.,,The appointment is with the doctor.,,,,der,,bei takes dative; feminine die becomes der.,,,,no imported v0.2 sourceRowId/comparison match; likely seed/system/route-specific content,,,
