exceptionType,currentSourceFile,currentItemId,v02RowId,v02RowNumber,v02Decision,proposedBucket,reason,currentTaskType,currentResponseSurface,sourceFile
unmatched_current,content/b1-cases-articles.js,b1_cases_articles_nom_acc_masc_001,,,,Exception,Current content item has no sourceRowId lineage field.,Auswahl,selected_choice_value,
unmatched_current,content/b1-cases-articles.js,b1_cases_articles_nom_acc_masc_002,,,,Exception,Current content item has no sourceRowId lineage field.,Luecke,typed,
unmatched_current,content/b1-cases-articles.js,b1_cases_articles_nom_acc_masc_003,,,,Exception,Current content item has no sourceRowId lineage field.,Reparatur,edit_text,
unmatched_current,content/b1-cases-articles.js,b1_cases_articles_nom_acc_masc_004,,,,Exception,Current content item has no sourceRowId lineage field.,Kontrast,selected_choice_value,
unmatched_current,content/b1-cases-articles.js,b1_cases_articles_acc_direct_001,,,,Exception,Current content item has no sourceRowId lineage field.,Auswahl,selected_choice_value,
unmatched_current,content/b1-cases-articles.js,b1_cases_articles_acc_direct_002,,,,Exception,Current content item has no sourceRowId lineage field.,Luecke,typed,
unmatched_current,content/b1-cases-articles.js,b1_cases_articles_acc_direct_003,,,,Exception,Current content item has no sourceRowId lineage field.,Reparatur,edit_text,
unmatched_current,content/b1-cases-articles.js,b1_cases_articles_acc_direct_004,,,,Exception,Current content item has no sourceRowId lineage field.,Kontrast,selected_choice_value,
unmatched_current,content/b1-cases-articles.js,b1_cases_articles_fixed_dative_001,,,,Exception,Current content item has no sourceRowId lineage field.,Auswahl,selected_choice_value,
unmatched_current,content/b1-cases-articles.js,b1_cases_articles_fixed_dative_002,,,,Exception,Current content item has no sourceRowId lineage field.,Luecke,typed,
unmatched_current,content/b1-cases-articles.js,b1_cases_articles_fixed_dative_003,,,,Exception,Current content item has no sourceRowId lineage field.,Reparatur,edit_text,
unmatched_current,content/b1-cases-articles.js,b1_cases_articles_fixed_dative_004,,,,Exception,Current content item has no sourceRowId lineage field.,Kontrast,selected_choice_value,
unmatched_current,content/b1-cases-articles.js,b1_cases_articles_indirect_dative_001,,,,Exception,Current content item has no sourceRowId lineage field.,Auswahl,selected_choice_value,
