sourceIssueType,issueType,bankKey,itemId,afterStatus,afterIssues,sourcePrompt,sourceCue,recommendedAction
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_termin_003,active-normal,,Sie können morgen nicht. Welche Formulierung verschiebt den Termin?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_bestaetigung_003,active-normal,,Sie haben noch keine Bestätigung bekommen. Welche Formulierung passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_unterlagen_003,active-normal,,Dokumente fehlen noch. Welche Formulierung passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_formular_003,active-normal,,Angaben fehlen im Formular. Welche Formulierung passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_beschwerde_003,active-normal,,Welche Formulierung ist höflich und passend für eine Beschwerde?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_lieferung_003,active-normal,,Die Ware ist noch nicht da. Welche Formulierung passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_bestellung_003,active-normal,,Sie haben den falschen Artikel bekommen. Welche Formulierung passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_rechnung_003,active-normal,,Der Preis ist falsch. Welche Formulierung passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_geraet_003,active-normal,,Ein Gerät geht nicht an. Welche Formulierung passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_rueckmeldung_003,active-normal,,Welche Formulierung passt gut am Ende einer höflichen E-Mail?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_krankheit_003,active-normal,,Sie schreiben dem Kurs wegen Krankheit. Welche Formulierung passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_krankmeldung_003,active-normal,,Der Kurs braucht den Krankmeldungsnachweis. Welche Formulierung passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_arzttermin_003,active-normal,,Sie kommen wegen eines Arzttermins später. Welche Formulierung passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_krankenkasse_003,active-normal,,Sie brauchen Informationen von der Krankenkasse. Welche Bitte passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_versicherung_003,active-normal,,"Sie möchten wissen, ob die Versicherung bezahlt. Welche Frage passt?",,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_gesundheitskarte_003,active-normal,,Die Praxis braucht Ihre Gesundheitskarte. Welche Aufforderung passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_rezept_003,active-normal,,Sie möchten ein Rezept in der Apotheke nutzen. Welche Formulierung passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_apotheke_003,active-normal,,Sie bekommen ein Medikament in der Apotheke. Welche Formulierung passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_untersuchung_003,active-normal,,Sie haben einen Termin für eine medizinische Prüfung. Welche Formulierung passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_beschwerden_003,active-normal,,Welche Frage fragt nach Symptomen?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_bewerbung_003,active-normal,,Welche Formulierung passt in eine Bewerbungsmail mit Anlagen?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_lebenslauf_003,active-normal,,Sie schicken Ihren CV mit. Welche Formulierung passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_stelle_003,active-normal,,"Sie sagen, dass Sie sich auf die Stelle bewerben. Welche Formulierung passt?",,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_vorstellungsgespraech_003,active-normal,,Sie antworten auf eine Einladung. Welche Formulierung passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_erfahrung_003,active-normal,,Welche Formulierung passt in eine Bewerbung?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_aufgabe_003,active-normal,,Sie verstehen eine Aufgabe nicht. Welche Frage passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_besprechung_003,active-normal,,Das Meeting soll später stattfinden. Welche Formulierung passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_anmeldung_003,active-normal,,Sie brauchen eine Bestätigung Ihrer Anmeldung. Welche Bitte passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_zugangsdaten_003,active-normal,,Sie brauchen Ihre Login-Daten noch einmal. Welche Bitte passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_fehlermeldung_003,active-normal,,Sie beschreiben eine Fehlermeldung beim Login. Welche Formulierung passt?,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_001,active,,Welche Kollokation passt? take part in the course | Choose the best German option. | take part in the course | original category context only | am Kurs teilnehmen | `teilnehmen` uses `an + dative`: am Kurs teilnehmen.,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_002,active,,Welche Kollokation passt? join in with the exercise | Choose the best German option. | join in with the exercise | original category context only | bei der Übung mitmachen | `mitmachen` is separable: ich mache ... mit.,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_003,active,,Welche Kollokation passt? improve German skills | Choose the best German option. | improve German skills | original category context only | Deutschkenntnisse verbessern | Collocation: use `Deutschkenntnisse verbessern` for improving language skills.,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_004,active,,Welche Kollokation passt? learn German at B1 level | Choose the best German option. | learn German at B1 level | original category context only | auf B1-Niveau Deutsch lernen | Use `auf ... Niveau` for language level.,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_005,active,,Welche Kollokation passt? register for the course | Choose the best German option. | register for the course | original category context only | sich für den Kurs anmelden | Reflexive: `sich für den Kurs anmelden`. | CAT12/CAT10 overlap | CAT12/CAT10 overlap,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_006,active,,Welche Kollokation passt? be finished with the task | Choose the best German option. | be finished with the task | original category context only | mit der Aufgabe fertig sein | `mit` takes dative: mit der Aufgabe.,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_007,active,,Welche Kollokation passt? do an exercise | Choose the best German option. | do an exercise | original category context only | eine Übung machen | Use `eine Übung machen` for doing an exercise.,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_008,review,internal_label_visible,"Welche Kollokation passt? ask someone to repeat/explain/spell | Choose the best German option. | ask someone to repeat/explain/spell | original category context only | etwas bitte wiederholen / erklären / buchstabieren | Choose the help verb by function: `wiederholen` = say again, `erklären` = explain, `buchstabieren` = spell letters.",Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_009,review,internal_label_sanitised|internal_label_visible,Welche Kollokation passt? bring documents/materials | Choose the best German option. | bring documents/materials | original category context only | Unterlagen mitbringen | `mitbringen` means bring along.,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_013,active,,Welche Kollokation passt? take notes | Choose the best German option. | take notes | original category context only | sich Notizen machen | Reflexive phrase: `Ich mache mir Notizen.`,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_014,active,,Welche Kollokation passt? have experience with the program | Choose the best German option. | have experience with the program | original category context only | Erfahrung mit dem Programm haben | Use `Erfahrung mit + dative` for experience with a tool/topic. | preposition alternatives can be valid in some contexts | preposition alternatives can be valid in some contexts,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_015,active,,Welche Kollokation passt? introduce oneself | Choose the best German option. | introduce oneself | original category context only | sich kurz vorstellen | Reflexive and separable: `Ich stelle mich vor.`,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_016,review,internal_label_sanitised|internal_label_visible,Welche Kollokation passt? look for/find the course room | Choose the best German option. | look for/find the course room | original category context only | den Kursraum suchen / finden | `suchen` takes an accusative object: den Kursraum.,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_017,active,,Welche Kollokation passt? during the break / go to the break room | Choose the best German option. | during the break / go to the break room | original category context only | in der Pause / zum Pausenraum gehen | Use movement with `zu`: zum Pausenraum gehen.,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_019,active,,Welche Kollokation passt? wait at reception | Choose the best German option. | wait at reception | original category context only | am Empfang warten | Fixed place phrase: `am Empfang`.,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_020,active,,Welche Kollokation passt? ask in the office/secretariat | Choose the best German option. | ask in the office/secretariat | original category context only | im Sekretariat fragen | Place phrase: `im Sekretariat`.,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_021,active,,Welche Kollokation passt? need a pen | Choose the best German option. | need a pen | original category context only | einen Stift brauchen | `brauchen` takes accusative: einen Stift.,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_022,active,,Welche Kollokation passt? show ID | Choose the best German option. | show ID | original category context only | den Ausweis zeigen | `zeigen` takes an accusative object: den Ausweis. | CAT12 admin overlap | CAT12 admin overlap,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_023,review,internal_label_visible,Welche Kollokation passt? log in/register in the app | Choose the best German option. | log in/register in the app | original category context only | sich in der App anmelden | Separate course registration from app login. | CAT10/CAT12 overlap and valid alternatives | CAT10/CAT12 overlap and valid alternatives,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_024,active,,Welche Kollokation passt? work in a team | Choose the best German option. | work in a team | original category context only | im Team arbeiten | Fixed phrase: `im Team arbeiten`.,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_collocation_cat02_coll_025,active,,Welche Kollokation passt? work in a group | Choose the best German option. | work in a group | original category context only | in der Gruppe arbeiten | Use article in the phrase: `in der Gruppe`.,Choose the best German option.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
