queueId,itemId,sourceRowId,sourceFile,originQueueFile,originVersion,issueType,issueCodes,currentManifestStatus,currentRouteKey,currentModuleKey,currentContentBankKey,currentTaskType,currentAnswerMode,currentResponseSurface,normalPracticeEligible,normalAutoGradedPracticeEligible,activeB1Evidence,reviewOnly,v02ApplyGateStatus,sourceCleanupBatch,feedbackCleanupBatch,metadataProvenance,metadataConfidence,currentResolutionBucket,currentResolutionReason,recommendedNextAction,riskLevel
rq-00998,v080149_cat03_practice_family_cat03_pf_088,cat03-pf-088,b1_m03,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,medical_legal_admin_review,found,b1_m03,b1-03,b1_m03,production_card,mark_practised,,,false,true,,production_isolated_v0_85_6a_2,,,explicit,high,PRODUCTION_WAIT_FOR_PRODUCTION_PASS,Current row is production/self-marked or the issue is production-only.,Revisit during Production Completion Pass.,medium
rq-01050,v080149_cat04_practice_family_cat04_pf_108,cat04-pf-108,b1_m04,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,production_missing_checklist | register_unclear,found,b1_m04,b1-04,b1_m04,production_card,mark_practised,,,false,true,,production_isolated_v0_85_6a_2,,,explicit,high,PRODUCTION_WAIT_FOR_PRODUCTION_PASS,Current row is production/self-marked or the issue is production-only.,Revisit during Production Completion Pass.,medium
rq-01057,v080149_cat04_redemittel_cat04_r_039,cat04-r-039,b1_m04,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,financial_legal_review,found,b1_m04,b1-04,b1_m04,production_card,mark_practised,,,false,true,,production_isolated_v0_85_6a_2,,,explicit,high,PRODUCTION_WAIT_FOR_PRODUCTION_PASS,Current row is production/self-marked or the issue is production-only.,Revisit during Production Completion Pass.,medium
rq-01279,v080149_cat06_practice_family_cat06_pf_068,cat06-pf-068,b1_m06,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,medical_legal_admin_review,found,b1_m06,b1-06,b1_m06,production_card,mark_practised,,,false,true,,production_isolated_v0_85_6a_2,,,explicit,high,PRODUCTION_WAIT_FOR_PRODUCTION_PASS,Current row is production/self-marked or the issue is production-only.,Revisit during Production Completion Pass.,medium
rq-01280,v080149_cat06_practice_family_cat06_pf_069,cat06-pf-069,b1_m06,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,medical_legal_admin_review,found,b1_m06,b1-06,b1_m06,production_card,mark_practised,,,false,true,,production_isolated_v0_85_6a_2,,,explicit,high,PRODUCTION_WAIT_FOR_PRODUCTION_PASS,Current row is production/self-marked or the issue is production-only.,Revisit during Production Completion Pass.,medium
rq-01297,v080149_cat06_practice_family_cat06_pf_100,cat06-pf-100,b1_m06,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,medical_legal_admin_review,found,b1_m06,b1-06,b1_m06,production_card,mark_practised,,,false,true,,production_isolated_v0_85_6a_2,,,explicit,high,PRODUCTION_WAIT_FOR_PRODUCTION_PASS,Current row is production/self-marked or the issue is production-only.,Revisit during Production Completion Pass.,medium
rq-01298,v080149_cat06_practice_family_cat06_pf_101,cat06-pf-101,b1_m06,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,medical_legal_admin_review,found,b1_m06,b1-06,b1_m06,production_card,mark_practised,,,false,true,,production_isolated_v0_85_6a_2,,,explicit,high,PRODUCTION_WAIT_FOR_PRODUCTION_PASS,Current row is production/self-marked or the issue is production-only.,Revisit during Production Completion Pass.,medium
rq-01299,v080149_cat06_practice_family_cat06_pf_103,cat06-pf-103,b1_m06,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,medical_legal_admin_review,found,b1_m06,b1-06,b1_m06,production_card,mark_practised,,,false,true,,production_isolated_v0_85_6a_2,,,explicit,high,PRODUCTION_WAIT_FOR_PRODUCTION_PASS,Current row is production/self-marked or the issue is production-only.,Revisit during Production Completion Pass.,medium
rq-01524,v080149_cat07_practice_family_cat07_pf_093,cat07-pf-093,b1_m07,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,register_unclear,found,b1_m07,b1-07,b1_m07,production_card,mark_practised,,,false,true,,production_isolated_v0_85_6a_2,,,explicit,high,PRODUCTION_WAIT_FOR_PRODUCTION_PASS,Current row is production/self-marked or the issue is production-only.,Revisit during Production Completion Pass.,medium
rq-01525,v080149_cat07_practice_family_cat07_pf_094,cat07-pf-094,b1_m07,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,register_unclear,found,b1_m07,b1-07,b1_m07,production_card,mark_practised,,,false,true,,production_isolated_v0_85_6a_2,,,explicit,high,PRODUCTION_WAIT_FOR_PRODUCTION_PASS,Current row is production/self-marked or the issue is production-only.,Revisit during Production Completion Pass.,medium
rq-01526,v080149_cat07_practice_family_cat07_pf_095,cat07-pf-095,b1_m07,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,register_unclear,found,b1_m07,b1-07,b1_m07,production_card,mark_practised,,,false,true,,production_isolated_v0_85_6a_2,,,explicit,high,PRODUCTION_WAIT_FOR_PRODUCTION_PASS,Current row is production/self-marked or the issue is production-only.,Revisit during Production Completion Pass.,medium
rq-01527,v080149_cat07_practice_family_cat07_pf_096,cat07-pf-096,b1_m07,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,register_unclear,found,b1_m07,b1-07,b1_m07,production_card,mark_practised,,,false,true,,production_isolated_v0_85_6a_2,,,explicit,high,PRODUCTION_WAIT_FOR_PRODUCTION_PASS,Current row is production/self-marked or the issue is production-only.,Revisit during Production Completion Pass.,medium
rq-01528,v080149_cat07_practice_family_cat07_pf_097,cat07-pf-097,b1_m07,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,register_unclear,found,b1_m07,b1-07,b1_m07,production_card,mark_practised,,,false,true,,production_isolated_v0_85_6a_2,,,explicit,high,PRODUCTION_WAIT_FOR_PRODUCTION_PASS,Current row is production/self-marked or the issue is production-only.,Revisit during Production Completion Pass.,medium
rq-01529,v080149_cat07_practice_family_cat07_pf_098,cat07-pf-098,b1_m07,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,medical_legal_admin_review,found,b1_m07,b1-07,b1_m07,production_card,mark_practised,,,false,true,,production_isolated_v0_85_6a_2,,,explicit,high,PRODUCTION_WAIT_FOR_PRODUCTION_PASS,Current row is production/self-marked or the issue is production-only.,Revisit during Production Completion Pass.,medium
rq-01530,v080149_cat07_practice_family_cat07_pf_099,cat07-pf-099,b1_m07,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,medical_legal_admin_review,found,b1_m07,b1-07,b1_m07,production_card,mark_practised,,,false,true,,production_isolated_v0_85_6a_2,,,explicit,high,PRODUCTION_WAIT_FOR_PRODUCTION_PASS,Current row is production/self-marked or the issue is production-only.,Revisit during Production Completion Pass.,medium
rq-01531,v080149_cat07_practice_family_cat07_pf_100,cat07-pf-100,b1_m07,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,register_unclear,found,b1_m07,b1-07,b1_m07,production_card,mark_practised,,,false,true,,production_isolated_v0_85_6a_2,,,explicit,high,PRODUCTION_WAIT_FOR_PRODUCTION_PASS,Current row is production/self-marked or the issue is production-only.,Revisit during Production Completion Pass.,medium
rq-01532,v080149_cat07_redemittel_cat07_r_003,cat07-r-003,b1_m07,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,register_unclear,found,b1_m07,b1-07,b1_m07,production_card,mark_practised,,,false,true,,production_isolated_v0_85_6a_2,,,explicit,high,PRODUCTION_WAIT_FOR_PRODUCTION_PASS,Current row is production/self-marked or the issue is production-only.,Revisit during Production Completion Pass.,medium
rq-01533,v080149_cat07_redemittel_cat07_r_004,cat07-r-004,b1_m07,docs/qa/v0.85.4_completion_gate_review_queue_status.csv,v0.85.4,review_queue_item,register_unclear,found,b1_m07,b1-07,b1_m07,production_card,mark_practised,,,false,true,,production_isolated_v0_85_6a_2,,,explicit,high,PRODUCTION_WAIT_FOR_PRODUCTION_PASS,Current row is production/self-marked or the issue is production-only.,Revisit during Production Completion Pass.,medium
