itemId,sourceFile,routeOrModule,itemType,currentPrompt,currentStimulus,currentAnswer,issueType,issueSeverity,reason,recommendedAction,normalPracticeEligible,reviewStatus
v080149_cat02_collocation_cat02_coll_008,content/b1-m01-variant-families.js,b1_m01,multiple_choice,Welche Kollokation passt? ask someone to repeat/explain/spell,Welche Kollokation passt? ask someone to repeat/explain/spell,etwas bitte wiederholen / erklären / buchstabieren,choice_internal_label_artifact,medium,Excluded from normal practice by existing safeguards.,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_collocation_cat02_coll_009,content/b1-m01-variant-families.js,b1_m01,multiple_choice,Welche Kollokation passt? bring documents/materials,Welche Kollokation passt? bring documents/materials,Unterlagen mitbringen,choice_internal_label_artifact,medium,internal_label_sanitised,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_collocation_cat02_coll_011,content/b1-m01-variant-families.js,b1_m01,multiple_choice,Welche Kollokation passt? hand in a worksheet,Welche Kollokation passt? hand in a worksheet,ein Arbeitsblatt abgeben,choice_internal_label_artifact,medium,Excluded from normal practice by existing safeguards.,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_collocation_cat02_coll_016,content/b1-m01-variant-families.js,b1_m01,multiple_choice,Welche Kollokation passt? look for/find the course room,Welche Kollokation passt? look for/find the course room,den Kursraum suchen / finden,choice_internal_label_artifact,medium,internal_label_sanitised,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_collocation_cat02_coll_022,content/b1-m01-variant-families.js,b1_m01,multiple_choice,Welche Kollokation passt? show ID,Welche Kollokation passt? show ID,den Ausweis zeigen,choice_internal_label_artifact,medium,Excluded from normal practice by existing safeguards.,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_collocation_cat02_coll_023,content/b1-m01-variant-families.js,b1_m01,multiple_choice,Welche Kollokation passt? log in/register in the app,Welche Kollokation passt? log in/register in the app,sich in der App anmelden,choice_internal_label_artifact,medium,Excluded from normal practice by existing safeguards.,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_contrast_cat02_cs_009,content/b1-m01-variant-families.js,b1_m01,multiple_choice,Welche Form passt zu `bring vs hand in`?,,mitbringen,choice_internal_label_artifact,medium,internal_label_sanitised;prompt_internal_label_sanitised,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_contrast_cat02_cs_011,content/b1-m01-variant-families.js,b1_m01,multiple_choice,Welche Form passt zu `register vs participate`?,,teilnehmen,choice_internal_label_artifact,medium,internal_label_sanitised;prompt_internal_label_sanitised,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_contrast_cat02_cs_013,content/b1-m01-variant-families.js,b1_m01,multiple_choice,Welche Form passt zu `show vs find`?,,zeigen,choice_internal_label_artifact,medium,internal_label_sanitised;prompt_internal_label_sanitised,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_001,content/b1-m01-variant-families.js,b1_m01,redemittel_cloze,Ich bin neu im ___.,Ich bin neu im ___.,Kurs,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_002,content/b1-m01-variant-families.js,b1_m01,redemittel_cloze,Ich bin neu in der ___.,Ich bin neu in der ___.,Firma,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_003,content/b1-m01-variant-families.js,b1_m01,redemittel_cloze,Ich bin heute zum ersten Mal ___.,Ich bin heute zum ersten Mal ___.,hier,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_004,content/b1-m01-variant-families.js,b1_m01,redemittel_cloze,Ich mache gerade einen ___.,Ich mache gerade einen ___.,Deutschkurs,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_007,content/b1-m01-variant-families.js,b1_m01,redemittel_cloze,Ich bin für den Kurs ___.,Ich bin für den Kurs ___.,angemeldet,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_008,content/b1-m01-variant-families.js,b1_m01,redemittel_cloze,Ich bin heute für die ___ hier.,Ich bin heute für die ___ hier.,Einarbeitung,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_009,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich stelle mich kurz ___.,Ich stelle mich kurz ___.,vor,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_010,content/b1-m01-variant-families.js,b1_m01,redemittel_cloze,Das ist meine ___ aus dem Büro.,Das ist meine ___ aus dem Büro.,Kollegin,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_011,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Wo ist der ___?,Wo ist der ___?,Kursraum,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_012,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Wo finde ich das ___?,Wo finde ich das ___?,Sekretariat,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_014,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,"Können Sie mir bitte zeigen, wo der Eingang ___?","Können Sie mir bitte zeigen, wo der Eingang ___?",ist,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
